# Wordlist

# DATA
ID	COGNACY	CONCEPT	COUNTERPART	IPA	DOCULECT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	EDITID	INFERRED_CLASS
3000	166	agní	zui	zui	Assamese	z ui	3 7	AX	SY	1	1.S.C 1.Y.V	2.0 1.5	0	36	agní:36
3001	166	agní	agun	aɡun	Bengali	a ɡ u n	7 1 7 4	XBYN	AKYN	2	2.A.V 2.K.C 2.Y.V 2.N.c	1.5 1.75 1.3 0.8	0	37	agní:37
3002	166	agní	niam̐	None	Oriya	N o n e	0 7 4 7	AXBZ	0UNE	11	11.0.C 11.U.V 11.N.C 11.E.V	2.0 1.5 1.75 0.8	0	42	agní:42
3003	166	agní	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	42	agní:42
3004	166	agní	gini	gini	Sinhalese	g i n i	1 7 4 7	AXBZ	KINI	17	17.K.C 17.I.V 17.N.C 17.I.V	2.0 1.5 1.75 0.8	0	42	agní:42
3005	166	agní	alifān̊	əlifəːn	Dhivehi	ə l i f əː n	7 5 7 3 7 4	XBYBYN	ELIBEN	4	4.E.V 4.L.C 4.I.V 4.B.C 4.E.V 4.N.c	1.5 1.75 1.3 1.75 1.3 0.8	0	39	agní:39
3006	166	agní	jag	dʒæɡ	Romani	d ʒ æ ɡ	1 3 7 1	ACXN	TSEK	14	14.T.C 14.S.C 14.E.V 14.K.c	2.0 1.5 1.5 0.8	0	49	agní:49
#
1	0	ahám	ahám	ɐɦɐm	Sanskrit	ɐ ɦ ɐ m	7 3 7 4	XBYN	EHEM	15	15.E.V 15.H.C 15.E.V 15.M.c	1.5 1.75 1.3 0.8	0	59	ahám:59
2	0	ahám	ahaṃ	ˌɑˈhɑṃ	Pali	ˌɑ ˈh ɑ ṃ	7 3 7 4	XBYN	AHAM	12	12.A.V 12.H.C 12.A.V 12.M.c	1.5 1.75 1.3 0.8	0	54	ahám:54
3	0	ahám	ma͠i	mɛː	Hindi	m ɛː	4 7	AX	ME	6	6.M.C 6.E.V	2.0 1.5	0	53	ahám:53
4	0	ahám	ma͠i	mɛː	Urdu	m ɛː	4 7	AX	ME	18	18.M.C 18.E.V	2.0 1.5	0	53	ahám:53
5	0	ahám	ma	mə	Nepali	m ə	4 7	AX	ME	10	10.M.C 10.E.V	2.0 1.5	0	53	ahám:53
6	0	ahám	ham	ˈhəm	Bhojpuri	ˈh ə m	3 7 4	AXN	HEM	3	3.H.C 3.E.V 3.M.c	2.0 1.5 0.8	0	54	ahám:54
7	0	ahám	maĩ	mɛː	Punjabi	m ɛː	4 7	AX	ME	13	13.M.C 13.E.V	2.0 1.5	0	53	ahám:53
8	0	ahám	āū̃,	ɑːũː	Sindhi	ɑːũː	7	X	A	16	16.A.V	1.5	0	67	ahám:67
9	0	ahám	hũ	hũː	Gujarati	h ũː	3 7	AX	HY	5	5.H.C 5.Y.V	2.0 1.5	0	56	ahám:56
10	0	ahám	mī,	mi	Marathi	m i	4 7	AX	MI	9	9.M.C 9.I.V	2.0 1.5	0	53	ahám:53
11	0	ahám	hā̃v	ɦɑːʋ	Konkani	ɦ ɑː ʋ	3 7 6	AXN	HAW	8	8.H.C 8.A.V 8.W.c	2.0 1.5 0.8	0	59	ahám:59
12	0	ahám	moi	mɔɪ	Assamese	m ɔɪ	4 7	AX	MU	1	1.M.C 1.U.V	2.0 1.5	0	53	ahám:53
13	0	ahám	ami	ami	Bengali	a m i	7 4 7	XBZ	AMI	2	2.A.V 2.M.C 2.I.V	1.5 1.75 0.8	0	53	ahám:53
14	0	ahám	mum̐	mũ	Oriya	m ũ	4 7	AX	MY	11	11.M.C 11.Y.V	2.0 1.5	0	53	ahám:53
15	0	ahám	bụ	bɨ	Kashmiri	b ɨ	1 7	AX	PI	7	7.P.C 7.I.V	2.0 1.5	0	58	ahám:58
16	0	ahám	mama,	ˈmɑmə	Sinhalese	ˈm ɑ m ə	4 7 4 7	AXBZ	MAME	17	17.M.C 17.A.V 17.M.C 17.E.V	2.0 1.5 1.75 0.8	0	53	ahám:53
17	0	ahám	aharen̊‎,	əhəɾen	Dhivehi	ə h ə ɾ e n	7 3 7 5 7 4	XBYBYN	EHEREN	4	4.E.V 4.H.C 4.E.V 4.R.C 4.E.V 4.N.c	1.5 1.75 1.3 1.75 1.3 0.8	0	55	ahám:55
18	0	ahám	me	miː	Romani	m iː	4 7	AX	MI	14	14.M.C 14.I.V	2.0 1.5	0	53	ahám:53
#
361	20	anyá	anyá	ənjə	Sanskrit	ə n j ə	7 4 6 7	XBCZ	ENJE	15	15.E.V 15.N.C 15.J.C 15.E.V	1.5 1.75 1.5 0.8	0	79	anyá:79
362	20	anyá	añña,	əñña:	Pali	ə ññ a:	7 4 7	XBZ	ENA	12	12.E.V 12.N.C 12.A.V	1.5 1.75 0.8	0	79	anyá:79
363	20	anyá	dūsrā	duːsɾɑː	Hindi	d uː s ɾ ɑː	1 7 3 5 7	AXBCZ	TYSRA	6	6.T.C 6.Y.V 6.S.C 6.R.C 6.A.V	2.0 1.5 1.75 1.5 0.8	0	70	anyá:70
364	20	anyá	dūsrā	duːsɾɑː	Urdu	d uː s ɾ ɑː	1 7 3 5 7	AXBCZ	TYSRA	18	18.T.C 18.Y.V 18.S.C 18.R.C 18.A.V	2.0 1.5 1.75 1.5 0.8	0	70	anyá:70
365	20	anyá	arko,	ʌrko	Nepali	ʌ r k o	7 5 1 7	XMBZ	ERKU	10	10.E.V 10.R.c 10.K.C 10.U.V	1.5 1.1 1.75 0.8	0	77	anyá:77
366	20	anyá	dusar,	dusar	Bhojpuri	d u s a r	1 7 3 7 5	AXBYN	TYSAR	3	3.T.C 3.Y.V 3.S.C 3.A.V 3.R.c	2.0 1.5 1.75 1.3 0.8	0	70	anyá:70
367	20	anyá	dūjā,	duːdʒɑː	Punjabi	d uː d ʒ ɑː	1 7 1 3 7	AXBCZ	TYTSA	13	13.T.C 13.Y.V 13.T.C 13.S.C 13.A.V	2.0 1.5 1.75 1.5 0.8	0	70	anyá:70
368	20	anyá	biyo	biyo	Sindhi	b iyo	1 7	AX	PI	16	16.P.C 16.I.V	2.0 1.5	0	83	anyá:83
369	20	anyá	bījũ,	biīʤeɪũ	Gujarati	b i ī ʤ eɪũ	1 7 7 2 7	AXYBZ	PIICE	5	5.P.C 5.I.V 5.I.V 5.C.C 5.E.V	2.0 1.5 1.3 1.75 0.8	0	72	anyá:72
370	20	anyá	itar,	ɪtəɾ	Marathi	ɪ t ə ɾ	7 1 7 5	XBYN	ITER	9	9.I.V 9.T.C 9.E.V 9.R.c	1.5 1.75 1.3 0.8	0	76	anyá:76
371	20	anyá	dusre	None	Konkani	N o n e	0 7 4 7	AXBZ	0UNE	8	8.0.C 8.U.V 8.N.C 8.E.V	2.0 1.5 1.75 0.8	0	68	anyá:68
372	20	anyá	an	an	Assamese	a n	7 4	XN	AN	1	1.A.V 1.N.c	1.5 0.8	0	68	anyá:68
373	20	anyá	ônjô	ɔɪnnɔ	Bengali	ɔɪ nn ɔ	7 4 7	XBZ	UNU	2	2.U.V 2.N.C 2.U.V	1.5 1.75 0.8	0	69	anyá:69
374	20	anyá	ônyô,	ɔɪnyɔ	Oriya	ɔɪ n yɔ	7 4 7	XBZ	UNY	11	11.U.V 11.N.C 11.Y.V	1.5 1.75 0.8	0	69	anyá:69
375	20	anyá	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	68	anyá:68
376	20	anyá	ætæm	ætæm	Sinhalese	æ t æ m	7 1 7 4	XBYN	ETEM	17	17.E.V 17.T.C 17.E.V 17.M.c	1.5 1.75 1.3 0.8	1	76	anyá:76
377	20	anyá	anet̊	anet̊	Dhivehi	a n e t̊	7 4 7 1	XBYN	ANET	4	4.A.V 4.N.C 4.E.V 4.T.c	1.5 1.75 1.3 0.8	0	68	anyá:68
378	20	anyá	aver	əˈvɜː	Romani	ə ˈv ɜː	7 3 7	XBZ	EBE	14	14.E.V 14.B.C 14.E.V	1.5 1.75 0.8	0	79	anyá:79
#
595	33	aṃhú	aṃhú	ɐɦu	Sanskrit	ɐ ɦ u	7 3 7	XBZ	EHY	15	15.E.V 15.H.C 15.Y.V	1.5 1.75 0.8	0	98	aṃhú:98
596	33	aṃhú	None	None	Pali	N o n e	0 7 4 7	AXBZ	0UNE	12	12.0.C 12.U.V 12.N.C 12.E.V	2.0 1.5 1.75 0.8	1	87	aṃhú:87
597	33	aṃhú	taṅg	təŋɡ	Hindi	t ə ŋ ɡ	1 7 4 1	AXLN	TENK	6	6.T.C 6.E.V 6.N.c 6.K.c	2.0 1.5 1.1 0.8	0	89	aṃhú:89
598	33	aṃhú	tang	təŋɡ	Urdu	t ə ŋ ɡ	1 7 4 1	AXLN	TENK	18	18.T.C 18.E.V 18.N.c 18.K.c	2.0 1.5 1.1 0.8	0	89	aṃhú:89
599	33	aṃhú	sā̃ghuro	sā̃ghuro	Nepali	s ā̃ g h u r o	3 7 1 3 7 5 7	AXBCYBZ	SAKHYRU	10	10.S.C 10.A.V 10.K.C 10.H.C 10.Y.V 10.R.C 10.U.V	2.0 1.5 1.75 1.5 1.3 1.75 0.8	0	88	aṃhú:88
600	33	aṃhú	pātar	pa:tɑr	Bhojpuri	p a: t ɑ r	1 7 1 7 5	AXBYN	PATAR	3	3.P.C 3.A.V 3.T.C 3.A.V 3.R.c	2.0 1.5 1.75 1.3 0.8	0	86	aṃhú:86
601	33	aṃhú	bhīṛā,	bhi:ṛa:	Punjabi	b h i: ṛ a:	1 3 7 5 7	ACXBZ	PHIRA	13	13.P.C 13.H.C 13.I.V 13.R.C 13.A.V	2.0 1.5 1.5 1.75 0.8	0	96	aṃhú:96
602	33	aṃhú	tang	təŋɡ	Sindhi	t ə ŋ ɡ	1 7 4 1	AXLN	TENK	16	16.T.C 16.E.V 16.N.c 16.K.c	2.0 1.5 1.1 0.8	0	89	aṃhú:89
603	33	aṃhú	sā̃kḍũ	sā̃kḍũ	Gujarati	s ā̃ k ḍ ũ	3 7 1 1 7	AXMBZ	SAKTY	5	5.S.C 5.A.V 5.K.c 5.T.C 5.Y.V	2.0 1.5 1.1 1.75 0.8	0	88	aṃhú:88
604	33	aṃhú	nirunda,	nirunda	Marathi	n i r u n d a	4 7 5 7 4 1 7	AXBYMBZ	NIRYNTA	9	9.N.C 9.I.V 9.R.C 9.Y.V 9.N.c 9.T.C 9.A.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	0	85	aṃhú:85
605	33	aṃhú	yeḍo	jiḍoʊ	Konkani	j i ḍ oʊ	6 7 1 7	AXBZ	JITU	8	8.J.C 8.I.V 8.T.C 8.U.V	2.0 1.5 1.75 0.8	0	91	aṃhú:91
606	33	aṃhú	thek	tʰɛk	Assamese	tʰ ɛ k	1 7 1	AXN	TEK	1	1.T.C 1.E.V 1.K.c	2.0 1.5 0.8	0	84	aṃhú:84
607	33	aṃhú	cipa	cipa	Bengali	c i p a	1 7 1 7	AXBZ	CIPA	2	2.C.C 2.I.V 2.P.C 2.A.V	2.0 1.5 1.75 0.8	0	85	aṃhú:85
608	33	aṃhú	ôṇôosaria	ôṇôosaria	Oriya	ô ṇ ô o s a r ia	7 4 7 7 3 7 5 7	XBYYBYBZ	UNUUSARI	11	11.U.V 11.N.C 11.U.V 11.U.V 11.S.C 11.A.V 11.R.C 11.I.V	1.5 1.75 1.3 1.3 1.75 1.3 1.75 0.8	0	94	aṃhú:94
609	33	aṃhú	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	87	aṃhú:87
610	33	aṃhú	paṭuyi	pɑṭuyi	Sinhalese	p ɑ ṭ uyi	1 7 1 7	AXBZ	PATY	17	17.P.C 17.A.V 17.T.C 17.Y.V	2.0 1.5 1.75 0.8	0	100	aṃhú:100
611	33	aṃhú	hani	ˈhæni	Dhivehi	ˈh æ n i	3 7 4 7	AXBZ	HENI	4	4.H.C 4.E.V 4.N.C 4.I.V	2.0 1.5 1.75 0.8	0	87	aṃhú:87
612	33	aṃhú	tang	tæŋ	Romani	t æ ŋ	1 7 4	AXN	TEN	14	14.T.C 14.E.V 14.N.c	2.0 1.5 0.8	0	89	aṃhú:89
#
1189	66	aṇḍá	aṇḍá	aṇḍā	Sanskrit	a ṇ ḍ ā	7 4 1 7	XMBZ	ANTA	15	15.A.V 15.N.c 15.T.C 15.A.V	1.5 1.1 1.75 0.8	0	112	aṇḍá:112
1190	66	aṇḍá	aṇḍa	aṇḍā	Pali	a ṇ ḍ ā	7 4 1 7	XMBZ	ANTA	12	12.A.V 12.N.c 12.T.C 12.A.V	1.5 1.1 1.75 0.8	0	112	aṇḍá:112
1191	66	aṇḍá	aṇḍā	əɳɖɑː	Hindi	ə ɳ ɖ ɑː	7 4 1 7	XMBZ	ENTA	6	6.E.V 6.N.c 6.T.C 6.A.V	1.5 1.1 1.75 0.8	0	103	aṇḍá:103
1192	66	aṇḍá	anḍā	aṇḍā	Urdu	a ṇ ḍ ā	7 4 1 7	XMBZ	ANTA	18	18.A.V 18.N.c 18.T.C 18.A.V	1.5 1.1 1.75 0.8	0	112	aṇḍá:112
1193	66	aṇḍá	phul,	pʰul	Nepali	pʰ u l	1 7 5	AXN	PYL	10	10.P.C 10.Y.V 10.L.c	2.0 1.5 0.8	0	110	aṇḍá:110
1194	66	aṇḍá	aṇḍā	əɳɖɑː	Bhojpuri	ə ɳ ɖ ɑː	7 4 1 7	XMBZ	ENTA	3	3.E.V 3.N.c 3.T.C 3.A.V	1.5 1.1 1.75 0.8	0	103	aṇḍá:103
1195	66	aṇḍá	iṅgā	aṇgɑː	Punjabi	a ṇ g ɑː	7 4 1 7	XMBZ	ANKA	13	13.A.V 13.N.c 13.K.C 13.A.V	1.5 1.1 1.75 0.8	0	112	aṇḍá:112
1196	66	aṇḍá	āno	a:no	Sindhi	a: n o	7 4 7	XBZ	ANU	16	16.A.V 16.N.C 16.U.V	1.5 1.75 0.8	0	114	aṇḍá:114
1197	66	aṇḍá	ī̃ḍũ	ī̃ḍũ	Gujarati	ī̃ ḍ ũ	7 1 7	XBZ	ITY	5	5.I.V 5.T.C 5.Y.V	1.5 1.75 0.8	0	105	aṇḍá:105
1198	66	aṇḍá	aṇḍe	əɳɖe	Marathi	ə ɳ ɖ e	7 4 1 7	XMBZ	ENTE	9	9.E.V 9.N.c 9.T.C 9.E.V	1.5 1.1 1.75 0.8	0	103	aṇḍá:103
1199	66	aṇḍá	tātī,	tɑːti:	Konkani	t ɑː t i:	1 7 1 7	AXBZ	TATI	8	8.T.C 8.A.V 8.T.C 8.I.V	2.0 1.5 1.75 0.8	0	108	aṇḍá:108
1200	66	aṇḍá	koni	kɔni	Assamese	k ɔ n i	1 7 4 7	AXBZ	KUNI	1	1.K.C 1.U.V 1.N.C 1.I.V	2.0 1.5 1.75 0.8	0	101	aṇḍá:101
1201	66	aṇḍá	ḍim	dim	Bengali	d i m	1 7 4	AXN	TIM	2	2.T.C 2.I.V 2.M.c	2.0 1.5 0.8	0	102	aṇḍá:102
1202	66	aṇḍá	ôṇḍa	ɔɳɖa	Oriya	ɔ ɳ ɖ a	7 4 1 7	XMBZ	UNTA	11	11.U.V 11.N.c 11.T.C 11.A.V	1.5 1.1 1.75 0.8	0	103	aṇḍá:103
1203	66	aṇḍá	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	101	aṇḍá:101
1204	66	aṇḍá	bittaraya,	bittaraya	Sinhalese	b i tt a r aya	1 7 1 7 5 7	AXBYBZ	PITARA	17	17.P.C 17.I.V 17.T.C 17.A.V 17.R.C 17.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	102	aṇḍá:102
1205	66	aṇḍá	bis	bis	Dhivehi	b i s	1 7 3	AXN	PIS	4	4.P.C 4.I.V 4.S.c	2.0 1.5 0.8	0	102	aṇḍá:102
1206	66	aṇḍá	anro	anro	Romani	a n r o	7 4 5 7	XBCZ	ANRU	14	14.A.V 14.N.C 14.R.C 14.U.V	1.5 1.75 1.5 0.8	0	114	aṇḍá:114
#
2449	136	badhnā́ti,	badhnā́ti,	None	Sanskrit	N o n e	0 7 4 7	AXBZ	0UNE	15	15.0.C 15.U.V 15.N.C 15.E.V	2.0 1.5 1.75 0.8	0	121	badhnā́ti,:121
2450	136	badhnā́ti,	bandhati	None	Pali	N o n e	0 7 4 7	AXBZ	0UNE	12	12.0.C 12.U.V 12.N.C 12.E.V	2.0 1.5 1.75 0.8	1	121	badhnā́ti,:121
2451	136	badhnā́ti,	bāndhnā	bɑːndʱnɑː	Hindi	b ɑː n dʱ n ɑː	1 7 4 1 4 7	AXMBCZ	PANTNA	6	6.P.C 6.A.V 6.N.c 6.T.C 6.N.C 6.A.V	2.0 1.5 1.1 1.75 1.5 0.8	0	115	badhnā́ti,:115
2452	136	badhnā́ti,	bā̃dhnā	bɑːdʱnɑː	Urdu	b ɑː dʱ n ɑː	1 7 1 4 7	AXBCZ	PATNA	18	18.P.C 18.A.V 18.T.C 18.N.C 18.A.V	2.0 1.5 1.75 1.5 0.8	0	115	badhnā́ti,:115
2453	136	badhnā́ti,	bā̃dhnu,	bädnu	Nepali	b ä d n u	1 7 1 4 7	AXBCZ	PATNY	10	10.P.C 10.A.V 10.T.C 10.N.C 10.Y.V	2.0 1.5 1.75 1.5 0.8	0	124	badhnā́ti,:124
2454	136	badhnā́ti,	bānhe	bɑːnhe	Bhojpuri	b ɑː n h e	1 7 4 3 7	AXMBZ	PANHE	3	3.P.C 3.A.V 3.N.c 3.H.C 3.E.V	2.0 1.5 1.1 1.75 0.8	0	115	badhnā́ti,:115
2455	136	badhnā́ti,	bannhṇā	ban:hŋɑː	Punjabi	b a n: h ŋ ɑː	1 7 4 3 4 7	AXMBCZ	PANHNA	13	13.P.C 13.A.V 13.N.c 13.H.C 13.N.C 13.A.V	2.0 1.5 1.1 1.75 1.5 0.8	0	115	badhnā́ti,:115
2456	136	badhnā́ti,	ɓadhaṇu	ɓadʱaŋu	Sindhi	ɓ a dʱ a ŋ u	1 7 1 7 4 7	AXBYBZ	PATANY	16	16.P.C 16.A.V 16.T.C 16.A.V 16.N.C 16.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	0	116	badhnā́ti,:116
2457	136	badhnā́ti,	bā̃dhvũ	bā̃:dʱvũ	Gujarati	b ā̃: dʱ v ũ	1 7 1 3 7	AXBCZ	PATBY	5	5.P.C 5.A.V 5.T.C 5.B.C 5.Y.V	2.0 1.5 1.75 1.5 0.8	0	115	badhnā́ti,:115
2458	136	badhnā́ti,	bāndhṇe	bɑːndʱŋe	Marathi	b ɑː n dʱ ŋ e	1 7 4 1 4 7	AXMBCZ	PANTNE	9	9.P.C 9.A.V 9.N.c 9.T.C 9.N.C 9.E.V	2.0 1.5 1.1 1.75 1.5 0.8	0	115	badhnā́ti,:115
2459	136	badhnā́ti,	bāndhap	bɑːndʱap	Konkani	b ɑː n dʱ a p	1 7 4 1 7 1	AXMBYN	PANTAP	8	8.P.C 8.A.V 8.N.c 8.T.C 8.A.V 8.P.c	2.0 1.5 1.1 1.75 1.3 0.8	0	115	badhnā́ti,:115
2460	136	badhnā́ti,	bandho	banʱ	Assamese	b a nʱ	1 7 4	AXN	PAN	1	1.P.C 1.A.V 1.N.c	2.0 1.5 0.8	0	115	badhnā́ti,:115
