# Wordlist

# DATA
ID	COGNACY	CONCEPT	COUNTERPART	IPA	DOCULECT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	INFOMAPID	INFERRED_CLASS
3629	201	None	bhitar	bhitar	Konkani	b h i t a r	1 3 7 1 7 5	ACXBYN	PHITAR	8	8.P.C 8.H.C 8.I.V 8.T.C 8.A.V 8.R.c	2.0 1.5 1.5 1.75 1.3 0.8	0	3	None:3
3630	201	None	-t	ɔt	Assamese	ɔ t	7 1	XN	UT	1	1.U.V 1.T.c	1.5 0.8	1	1	None:1
3631	201	None	-e	ɛ	Bengali	ɛ	7	X	E	2	2.E.V	1.5	1	2	None:2
3632	201	None	bhitôre	None	Oriya	N o n e	0 7 4 7	AXBZ	0UNE	11	11.0.C 11.U.V 11.N.C 11.E.V	2.0 1.5 1.75 0.8	1	5	None:5
3633	201	None	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	5	None:5
3634	201	None	tuḷa	tuḷa	Sinhalese	t u ḷ a	1 7 5 7	AXBZ	TYLA	17	17.T.C 17.Y.V 17.L.C 17.A.V	2.0 1.5 1.75 0.8	0	1	None:1
3635	201	None	źerey	źerey	Dhivehi	ź e r ey	0 7 5 7	AXBZ	0ERE	4	4.0.C 4.E.V 4.R.C 4.E.V	2.0 1.5 1.75 0.8	0	3	None:3
3636	201	None	anθ-	ænθ	Romani	æ n θ	7 4 3	XLN	END	14	14.E.V 14.N.c 14.D.c	1.5 1.1 0.8	0	1	None:1
#
2989	166	agní	agní	əɡniː	Sanskrit	ə ɡ n iː	7 1 4 7	XBCZ	EKNI	15	15.E.V 15.K.C 15.N.C 15.I.V	1.5 1.75 1.5 0.8	0	10	agní:10
2990	166	agní	aggi	əɡgi:	Pali	ə ɡ g i:	7 1 1 7	XMBZ	EKKI	12	12.E.V 12.K.c 12.K.C 12.I.V	1.5 1.1 1.75 0.8	0	10	agní:10
2991	166	agní	āg	ɑːɡ	Hindi	ɑː ɡ	7 1	XN	AK	6	6.A.V 6.K.c	1.5 0.8	0	10	agní:10
2992	166	agní	āg	ɑːɡ	Urdu	ɑː ɡ	7 1	XN	AK	18	18.A.V 18.K.c	1.5 0.8	0	10	agní:10
2993	166	agní	āgo	äɡo	Nepali	ä ɡ o	7 1 7	XBZ	AKU	10	10.A.V 10.K.C 10.U.V	1.5 1.75 0.8	0	10	agní:10
2994	166	agní	āg	ɑːɡ	Bhojpuri	ɑː ɡ	7 1	XN	AK	3	3.A.V 3.K.c	1.5 0.8	0	10	agní:10
2995	166	agní	agga	əɡgɑː	Punjabi	ə ɡ g ɑː	7 1 1 7	XMBZ	EKKA	13	13.E.V 13.K.c 13.K.C 13.A.V	1.5 1.1 1.75 0.8	0	10	agní:10
2996	166	agní	bāhi	bɑːʱi	Sindhi	b ɑːʱi	1 7	AX	PA	16	16.P.C 16.A.V	2.0 1.5	0	14	agní:14
2997	166	agní	āga	ɑːɡa	Gujarati	ɑː ɡ a	7 1 7	XBZ	AKA	5	5.A.V 5.K.C 5.A.V	1.5 1.75 0.8	0	10	agní:10
2998	166	agní	āg	ɑːɡ	Marathi	ɑː ɡ	7 1	XN	AK	9	9.A.V 9.K.c	1.5 0.8	0	10	agní:10
2999	166	agní	ujo	uːzɔː	Konkani	uː z ɔː	7 3 7	XBZ	YSU	8	8.Y.V 8.S.C 8.U.V	1.5 1.75 0.8	0	9	agní:9
3000	166	agní	zui	zui	Assamese	z ui	3 7	AX	SY	1	1.S.C 1.Y.V	2.0 1.5	0	9	agní:9
3001	166	agní	agun	aɡun	Bengali	a ɡ u n	7 1 7 4	XBYN	AKYN	2	2.A.V 2.K.C 2.Y.V 2.N.c	1.5 1.75 1.3 0.8	0	10	agní:10
3002	166	agní	niam̐	None	Oriya	N o n e	0 7 4 7	AXBZ	0UNE	11	11.0.C 11.U.V 11.N.C 11.E.V	2.0 1.5 1.75 0.8	0	13	agní:13
3003	166	agní	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	12	agní:12
3004	166	agní	gini	gini	Sinhalese	g i n i	1 7 4 7	AXBZ	KINI	17	17.K.C 17.I.V 17.N.C 17.I.V	2.0 1.5 1.75 0.8	0	10	agní:10
3005	166	agní	alifān̊	əlifəːn	Dhivehi	ə l i f əː n	7 5 7 3 7 4	XBYBYN	ELIBEN	4	4.E.V 4.L.C 4.I.V 4.B.C 4.E.V 4.N.c	1.5 1.75 1.3 1.75 1.3 0.8	0	11	agní:11
3006	166	agní	jag	dʒæɡ	Romani	d ʒ æ ɡ	1 3 7 1	ACXN	TSEK	14	14.T.C 14.S.C 14.E.V 14.K.c	2.0 1.5 1.5 0.8	0	10	agní:10
#
1	0	ahám	ahám	ɐɦɐm	Sanskrit	ɐ ɦ ɐ m	7 3 7 4	XBYN	EHEM	15	15.E.V 15.H.C 15.E.V 15.M.c	1.5 1.75 1.3 0.8	0	15	ahám:15
2	0	ahám	ahaṃ	ˌɑˈhɑṃ	Pali	ˌɑ ˈh ɑ ṃ	7 3 7 4	XBYN	AHAM	12	12.A.V 12.H.C 12.A.V 12.M.c	1.5 1.75 1.3 0.8	0	15	ahám:15
3	0	ahám	ma͠i	mɛː	Hindi	m ɛː	4 7	AX	ME	6	6.M.C 6.E.V	2.0 1.5	0	15	ahám:15
4	0	ahám	ma͠i	mɛː	Urdu	m ɛː	4 7	AX	ME	18	18.M.C 18.E.V	2.0 1.5	0	15	ahám:15
5	0	ahám	ma	mə	Nepali	m ə	4 7	AX	ME	10	10.M.C 10.E.V	2.0 1.5	0	15	ahám:15
6	0	ahám	ham	ˈhəm	Bhojpuri	ˈh ə m	3 7 4	AXN	HEM	3	3.H.C 3.E.V 3.M.c	2.0 1.5 0.8	0	15	ahám:15
7	0	ahám	maĩ	mɛː	Punjabi	m ɛː	4 7	AX	ME	13	13.M.C 13.E.V	2.0 1.5	0	15	ahám:15
8	0	ahám	āū̃,	ɑːũː	Sindhi	ɑːũː	7	X	A	16	16.A.V	1.5	0	17	ahám:17
9	0	ahám	hũ	hũː	Gujarati	h ũː	3 7	AX	HY	5	5.H.C 5.Y.V	2.0 1.5	0	15	ahám:15
10	0	ahám	mī,	mi	Marathi	m i	4 7	AX	MI	9	9.M.C 9.I.V	2.0 1.5	0	15	ahám:15
11	0	ahám	hā̃v	ɦɑːʋ	Konkani	ɦ ɑː ʋ	3 7 6	AXN	HAW	8	8.H.C 8.A.V 8.W.c	2.0 1.5 0.8	0	15	ahám:15
12	0	ahám	moi	mɔɪ	Assamese	m ɔɪ	4 7	AX	MU	1	1.M.C 1.U.V	2.0 1.5	0	15	ahám:15
13	0	ahám	ami	ami	Bengali	a m i	7 4 7	XBZ	AMI	2	2.A.V 2.M.C 2.I.V	1.5 1.75 0.8	0	15	ahám:15
14	0	ahám	mum̐	mũ	Oriya	m ũ	4 7	AX	MY	11	11.M.C 11.Y.V	2.0 1.5	0	15	ahám:15
15	0	ahám	bụ	bɨ	Kashmiri	b ɨ	1 7	AX	PI	7	7.P.C 7.I.V	2.0 1.5	0	17	ahám:17
16	0	ahám	mama,	ˈmɑmə	Sinhalese	ˈm ɑ m ə	4 7 4 7	AXBZ	MAME	17	17.M.C 17.A.V 17.M.C 17.E.V	2.0 1.5 1.75 0.8	0	15	ahám:15
17	0	ahám	aharen̊‎,	əhəɾen	Dhivehi	ə h ə ɾ e n	7 3 7 5 7 4	XBYBYN	EHEREN	4	4.E.V 4.H.C 4.E.V 4.R.C 4.E.V 4.N.c	1.5 1.75 1.3 1.75 1.3 0.8	0	16	ahám:16
18	0	ahám	me	miː	Romani	m iː	4 7	AX	MI	14	14.M.C 14.I.V	2.0 1.5	0	15	ahám:15
#
361	20	anyá	anyá	ənjə	Sanskrit	ə n j ə	7 4 6 7	XBCZ	ENJE	15	15.E.V 15.N.C 15.J.C 15.E.V	1.5 1.75 1.5 0.8	0	18	anyá:18
362	20	anyá	añña,	əñña:	Pali	ə ññ a:	7 4 7	XBZ	ENA	12	12.E.V 12.N.C 12.A.V	1.5 1.75 0.8	0	18	anyá:18
363	20	anyá	dūsrā	duːsɾɑː	Hindi	d uː s ɾ ɑː	1 7 3 5 7	AXBCZ	TYSRA	6	6.T.C 6.Y.V 6.S.C 6.R.C 6.A.V	2.0 1.5 1.75 1.5 0.8	0	19	anyá:19
364	20	anyá	dūsrā	duːsɾɑː	Urdu	d uː s ɾ ɑː	1 7 3 5 7	AXBCZ	TYSRA	18	18.T.C 18.Y.V 18.S.C 18.R.C 18.A.V	2.0 1.5 1.75 1.5 0.8	0	19	anyá:19
365	20	anyá	arko,	ʌrko	Nepali	ʌ r k o	7 5 1 7	XMBZ	ERKU	10	10.E.V 10.R.c 10.K.C 10.U.V	1.5 1.1 1.75 0.8	0	19	anyá:19
366	20	anyá	dusar,	dusar	Bhojpuri	d u s a r	1 7 3 7 5	AXBYN	TYSAR	3	3.T.C 3.Y.V 3.S.C 3.A.V 3.R.c	2.0 1.5 1.75 1.3 0.8	0	19	anyá:19
367	20	anyá	dūjā,	duːdʒɑː	Punjabi	d uː d ʒ ɑː	1 7 1 3 7	AXBCZ	TYTSA	13	13.T.C 13.Y.V 13.T.C 13.S.C 13.A.V	2.0 1.5 1.75 1.5 0.8	0	19	anyá:19
368	20	anyá	biyo	biyo	Sindhi	b iyo	1 7	AX	PI	16	16.P.C 16.I.V	2.0 1.5	0	20	anyá:20
369	20	anyá	bījũ,	biīʤeɪũ	Gujarati	b i ī ʤ eɪũ	1 7 7 2 7	AXYBZ	PIICE	5	5.P.C 5.I.V 5.I.V 5.C.C 5.E.V	2.0 1.5 1.3 1.75 0.8	0	20	anyá:20
370	20	anyá	itar,	ɪtəɾ	Marathi	ɪ t ə ɾ	7 1 7 5	XBYN	ITER	9	9.I.V 9.T.C 9.E.V 9.R.c	1.5 1.75 1.3 0.8	0	19	anyá:19
371	20	anyá	dusre	None	Konkani	N o n e	0 7 4 7	AXBZ	0UNE	8	8.0.C 8.U.V 8.N.C 8.E.V	2.0 1.5 1.75 0.8	0	18	anyá:18
372	20	anyá	an	an	Assamese	a n	7 4	XN	AN	1	1.A.V 1.N.c	1.5 0.8	0	18	anyá:18
373	20	anyá	ônjô	ɔɪnnɔ	Bengali	ɔɪ nn ɔ	7 4 7	XBZ	UNU	2	2.U.V 2.N.C 2.U.V	1.5 1.75 0.8	0	18	anyá:18
374	20	anyá	ônyô,	ɔɪnyɔ	Oriya	ɔɪ n yɔ	7 4 7	XBZ	UNY	11	11.U.V 11.N.C 11.Y.V	1.5 1.75 0.8	0	18	anyá:18
375	20	anyá	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	18	anyá:18
376	20	anyá	ætæm	ætæm	Sinhalese	æ t æ m	7 1 7 4	XBYN	ETEM	17	17.E.V 17.T.C 17.E.V 17.M.c	1.5 1.75 1.3 0.8	1	21	anyá:21
377	20	anyá	anet̊	anet̊	Dhivehi	a n e t̊	7 4 7 1	XBYN	ANET	4	4.A.V 4.N.C 4.E.V 4.T.c	1.5 1.75 1.3 0.8	0	18	anyá:18
378	20	anyá	aver	əˈvɜː	Romani	ə ˈv ɜː	7 3 7	XBZ	EBE	14	14.E.V 14.B.C 14.E.V	1.5 1.75 0.8	0	20	anyá:20
#
595	33	aṃhú	aṃhú	ɐɦu	Sanskrit	ɐ ɦ u	7 3 7	XBZ	EHY	15	15.E.V 15.H.C 15.Y.V	1.5 1.75 0.8	0	27	aṃhú:27
596	33	aṃhú	None	None	Pali	N o n e	0 7 4 7	AXBZ	0UNE	12	12.0.C 12.U.V 12.N.C 12.E.V	2.0 1.5 1.75 0.8	1	28	aṃhú:28
597	33	aṃhú	taṅg	təŋɡ	Hindi	t ə ŋ ɡ	1 7 4 1	AXLN	TENK	6	6.T.C 6.E.V 6.N.c 6.K.c	2.0 1.5 1.1 0.8	0	22	aṃhú:22
598	33	aṃhú	tang	təŋɡ	Urdu	t ə ŋ ɡ	1 7 4 1	AXLN	TENK	18	18.T.C 18.E.V 18.N.c 18.K.c	2.0 1.5 1.1 0.8	0	22	aṃhú:22
599	33	aṃhú	sā̃ghuro	sā̃ghuro	Nepali	s ā̃ g h u r o	3 7 1 3 7 5 7	AXBCYBZ	SAKHYRU	10	10.S.C 10.A.V 10.K.C 10.H.C 10.Y.V 10.R.C 10.U.V	2.0 1.5 1.75 1.5 1.3 1.75 0.8	0	27	aṃhú:27
600	33	aṃhú	pātar	pa:tɑr	Bhojpuri	p a: t ɑ r	1 7 1 7 5	AXBYN	PATAR	3	3.P.C 3.A.V 3.T.C 3.A.V 3.R.c	2.0 1.5 1.75 1.3 0.8	0	22	aṃhú:22
601	33	aṃhú	bhīṛā,	bhi:ṛa:	Punjabi	b h i: ṛ a:	1 3 7 5 7	ACXBZ	PHIRA	13	13.P.C 13.H.C 13.I.V 13.R.C 13.A.V	2.0 1.5 1.5 1.75 0.8	0	27	aṃhú:27
602	33	aṃhú	tang	təŋɡ	Sindhi	t ə ŋ ɡ	1 7 4 1	AXLN	TENK	16	16.T.C 16.E.V 16.N.c 16.K.c	2.0 1.5 1.1 0.8	0	22	aṃhú:22
603	33	aṃhú	sā̃kḍũ	sā̃kḍũ	Gujarati	s ā̃ k ḍ ũ	3 7 1 1 7	AXMBZ	SAKTY	5	5.S.C 5.A.V 5.K.c 5.T.C 5.Y.V	2.0 1.5 1.1 1.75 0.8	0	22	aṃhú:22
604	33	aṃhú	nirunda,	nirunda	Marathi	n i r u n d a	4 7 5 7 4 1 7	AXBYMBZ	NIRYNTA	9	9.N.C 9.I.V 9.R.C 9.Y.V 9.N.c 9.T.C 9.A.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	0	26	aṃhú:26
605	33	aṃhú	yeḍo	jiḍoʊ	Konkani	j i ḍ oʊ	6 7 1 7	AXBZ	JITU	8	8.J.C 8.I.V 8.T.C 8.U.V	2.0 1.5 1.75 0.8	0	25	aṃhú:25
606	33	aṃhú	thek	tʰɛk	Assamese	tʰ ɛ k	1 7 1	AXN	TEK	1	1.T.C 1.E.V 1.K.c	2.0 1.5 0.8	0	22	aṃhú:22
607	33	aṃhú	cipa	cipa	Bengali	c i p a	1 7 1 7	AXBZ	CIPA	2	2.C.C 2.I.V 2.P.C 2.A.V	2.0 1.5 1.75 0.8	0	23	aṃhú:23
608	33	aṃhú	ôṇôosaria	ôṇôosaria	Oriya	ô ṇ ô o s a r ia	7 4 7 7 3 7 5 7	XBYYBYBZ	UNUUSARI	11	11.U.V 11.N.C 11.U.V 11.U.V 11.S.C 11.A.V 11.R.C 11.I.V	1.5 1.75 1.3 1.3 1.75 1.3 1.75 0.8	0	27	aṃhú:27
609	33	aṃhú	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	24	aṃhú:24
610	33	aṃhú	paṭuyi	pɑṭuyi	Sinhalese	p ɑ ṭ uyi	1 7 1 7	AXBZ	PATY	17	17.P.C 17.A.V 17.T.C 17.Y.V	2.0 1.5 1.75 0.8	0	22	aṃhú:22
611	33	aṃhú	hani	ˈhæni	Dhivehi	ˈh æ n i	3 7 4 7	AXBZ	HENI	4	4.H.C 4.E.V 4.N.C 4.I.V	2.0 1.5 1.75 0.8	0	24	aṃhú:24
612	33	aṃhú	tang	tæŋ	Romani	t æ ŋ	1 7 4	AXN	TEN	14	14.T.C 14.E.V 14.N.c	2.0 1.5 0.8	0	22	aṃhú:22
#
1189	66	aṇḍá	aṇḍá	aṇḍā	Sanskrit	a ṇ ḍ ā	7 4 1 7	XMBZ	ANTA	15	15.A.V 15.N.c 15.T.C 15.A.V	1.5 1.1 1.75 0.8	0	29	aṇḍá:29
1190	66	aṇḍá	aṇḍa	aṇḍā	Pali	a ṇ ḍ ā	7 4 1 7	XMBZ	ANTA	12	12.A.V 12.N.c 12.T.C 12.A.V	1.5 1.1 1.75 0.8	0	29	aṇḍá:29
1191	66	aṇḍá	aṇḍā	əɳɖɑː	Hindi	ə ɳ ɖ ɑː	7 4 1 7	XMBZ	ENTA	6	6.E.V 6.N.c 6.T.C 6.A.V	1.5 1.1 1.75 0.8	0	29	aṇḍá:29
1192	66	aṇḍá	anḍā	aṇḍā	Urdu	a ṇ ḍ ā	7 4 1 7	XMBZ	ANTA	18	18.A.V 18.N.c 18.T.C 18.A.V	1.5 1.1 1.75 0.8	0	29	aṇḍá:29
1193	66	aṇḍá	phul,	pʰul	Nepali	pʰ u l	1 7 5	AXN	PYL	10	10.P.C 10.Y.V 10.L.c	2.0 1.5 0.8	0	31	aṇḍá:31
1194	66	aṇḍá	aṇḍā	əɳɖɑː	Bhojpuri	ə ɳ ɖ ɑː	7 4 1 7	XMBZ	ENTA	3	3.E.V 3.N.c 3.T.C 3.A.V	1.5 1.1 1.75 0.8	0	29	aṇḍá:29
1195	66	aṇḍá	iṅgā	aṇgɑː	Punjabi	a ṇ g ɑː	7 4 1 7	XMBZ	ANKA	13	13.A.V 13.N.c 13.K.C 13.A.V	1.5 1.1 1.75 0.8	0	29	aṇḍá:29
1196	66	aṇḍá	āno	a:no	Sindhi	a: n o	7 4 7	XBZ	ANU	16	16.A.V 16.N.C 16.U.V	1.5 1.75 0.8	0	29	aṇḍá:29
1197	66	aṇḍá	ī̃ḍũ	ī̃ḍũ	Gujarati	ī̃ ḍ ũ	7 1 7	XBZ	ITY	5	5.I.V 5.T.C 5.Y.V	1.5 1.75 0.8	0	29	aṇḍá:29
1198	66	aṇḍá	aṇḍe	əɳɖe	Marathi	ə ɳ ɖ e	7 4 1 7	XMBZ	ENTE	9	9.E.V 9.N.c 9.T.C 9.E.V	1.5 1.1 1.75 0.8	0	29	aṇḍá:29
1199	66	aṇḍá	tātī,	tɑːti:	Konkani	t ɑː t i:	1 7 1 7	AXBZ	TATI	8	8.T.C 8.A.V 8.T.C 8.I.V	2.0 1.5 1.75 0.8	0	29	aṇḍá:29
1200	66	aṇḍá	koni	kɔni	Assamese	k ɔ n i	1 7 4 7	AXBZ	KUNI	1	1.K.C 1.U.V 1.N.C 1.I.V	2.0 1.5 1.75 0.8	0	29	aṇḍá:29
1201	66	aṇḍá	ḍim	dim	Bengali	d i m	1 7 4	AXN	TIM	2	2.T.C 2.I.V 2.M.c	2.0 1.5 0.8	0	29	aṇḍá:29
1202	66	aṇḍá	ôṇḍa	ɔɳɖa	Oriya	ɔ ɳ ɖ a	7 4 1 7	XMBZ	UNTA	11	11.U.V 11.N.c 11.T.C 11.A.V	1.5 1.1 1.75 0.8	0	29	aṇḍá:29
1203	66	aṇḍá	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	29	aṇḍá:29
1204	66	aṇḍá	bittaraya,	bittaraya	Sinhalese	b i tt a r aya	1 7 1 7 5 7	AXBYBZ	PITARA	17	17.P.C 17.I.V 17.T.C 17.A.V 17.R.C 17.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	29	aṇḍá:29
1205	66	aṇḍá	bis	bis	Dhivehi	b i s	1 7 3	AXN	PIS	4	4.P.C 4.I.V 4.S.c	2.0 1.5 0.8	0	30	aṇḍá:30
1206	66	aṇḍá	anro	anro	Romani	a n r o	7 4 5 7	XBCZ	ANRU	14	14.A.V 14.N.C 14.R.C 14.U.V	1.5 1.75 1.5 0.8	0	29	aṇḍá:29
#
2449	136	badhnā́ti,	badhnā́ti,	None	Sanskrit	N o n e	0 7 4 7	AXBZ	0UNE	15	15.0.C 15.U.V 15.N.C 15.E.V	2.0 1.5 1.75 0.8	0	34	badhnā́ti,:34
2450	136	badhnā́ti,	bandhati	None	Pali	N o n e	0 7 4 7	AXBZ	0UNE	12	12.0.C 12.U.V 12.N.C 12.E.V	2.0 1.5 1.75 0.8	1	33	badhnā́ti,:33
2451	136	badhnā́ti,	bāndhnā	bɑːndʱnɑː	Hindi	b ɑː n dʱ n ɑː	1 7 4 1 4 7	AXMBCZ	PANTNA	6	6.P.C 6.A.V 6.N.c 6.T.C 6.N.C 6.A.V	2.0 1.5 1.1 1.75 1.5 0.8	0	32	badhnā́ti,:32
2452	136	badhnā́ti,	bā̃dhnā	bɑːdʱnɑː	Urdu	b ɑː dʱ n ɑː	1 7 1 4 7	AXBCZ	PATNA	18	18.P.C 18.A.V 18.T.C 18.N.C 18.A.V	2.0 1.5 1.75 1.5 0.8	0	32	badhnā́ti,:32
2453	136	badhnā́ti,	bā̃dhnu,	bädnu	Nepali	b ä d n u	1 7 1 4 7	AXBCZ	PATNY	10	10.P.C 10.A.V 10.T.C 10.N.C 10.Y.V	2.0 1.5 1.75 1.5 0.8	0	32	badhnā́ti,:32
2454	136	badhnā́ti,	bānhe	bɑːnhe	Bhojpuri	b ɑː n h e	1 7 4 3 7	AXMBZ	PANHE	3	3.P.C 3.A.V 3.N.c 3.H.C 3.E.V	2.0 1.5 1.1 1.75 0.8	0	32	badhnā́ti,:32
2455	136	badhnā́ti,	bannhṇā	ban:hŋɑː	Punjabi	b a n: h ŋ ɑː	1 7 4 3 4 7	AXMBCZ	PANHNA	13	13.P.C 13.A.V 13.N.c 13.H.C 13.N.C 13.A.V	2.0 1.5 1.1 1.75 1.5 0.8	0	32	badhnā́ti,:32
2456	136	badhnā́ti,	ɓadhaṇu	ɓadʱaŋu	Sindhi	ɓ a dʱ a ŋ u	1 7 1 7 4 7	AXBYBZ	PATANY	16	16.P.C 16.A.V 16.T.C 16.A.V 16.N.C 16.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	0	32	badhnā́ti,:32
2457	136	badhnā́ti,	bā̃dhvũ	bā̃:dʱvũ	Gujarati	b ā̃: dʱ v ũ	1 7 1 3 7	AXBCZ	PATBY	5	5.P.C 5.A.V 5.T.C 5.B.C 5.Y.V	2.0 1.5 1.75 1.5 0.8	0	32	badhnā́ti,:32
2458	136	badhnā́ti,	bāndhṇe	bɑːndʱŋe	Marathi	b ɑː n dʱ ŋ e	1 7 4 1 4 7	AXMBCZ	PANTNE	9	9.P.C 9.A.V 9.N.c 9.T.C 9.N.C 9.E.V	2.0 1.5 1.1 1.75 1.5 0.8	0	32	badhnā́ti,:32
2459	136	badhnā́ti,	bāndhap	bɑːndʱap	Konkani	b ɑː n dʱ a p	1 7 4 1 7 1	AXMBYN	PANTAP	8	8.P.C 8.A.V 8.N.c 8.T.C 8.A.V 8.P.c	2.0 1.5 1.1 1.75 1.3 0.8	0	32	badhnā́ti,:32
2460	136	badhnā́ti,	bandho	banʱ	Assamese	b a nʱ	1 7 4	AXN	PAN	1	1.P.C 1.A.V 1.N.c	2.0 1.5 0.8	0	32	badhnā́ti,:32
