# Wordlist

# DATA
ID	COGNACY	CONCEPT	COUNTERPART	IPA	DOCULECT	COGID	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	UPGMAID
573	31	aṇḍá	bittaraya,	bittaraya	Sinhalese	24	b i tt a r aya	1 7 1 7 5 7	AXBYBZ	PITARA	17	17.P.C 17.I.V 17.T.C 17.A.V 17.R.C 17.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	48
574	31	aṇḍá	bis	bis	Dhivehi	398	b i s	1 7 3	AXN	PIS	4	4.P.C 4.I.V 4.S.c	2.0 1.5 0.8	0	35
575	31	aṇḍá	anro	anro	Romani	24	a n r o	7 4 5 7	XBCZ	ANRU	14	14.A.V 14.N.C 14.R.C 14.U.V	1.5 1.75 1.5 0.8	0	45
#
163	9	bahú	bahú	bɐɦú	Sanskrit	1203	b ɐ ɦ ú	1 7 3 7	AXBZ	PEHY	15	15.P.C 15.E.V 15.H.C 15.Y.V	2.0 1.5 1.75 0.8	0	50
164	9	bahú	bahu	bau	Pali	1203	b au	1 7	AX	PA	12	12.P.C 12.A.V	2.0 1.5	0	61
165	9	bahú	bahut	bəɦʊt	Hindi	51	b ə ɦ ʊ t	1 7 3 7 1	AXBYN	PEHYT	6	6.P.C 6.E.V 6.H.C 6.Y.V 6.T.c	2.0 1.5 1.75 1.3 0.8	0	50
166	9	bahú	bahut	bəɦoːt	Urdu	51	b ə ɦ oː t	1 7 3 7 1	AXBYN	PEHUT	18	18.P.C 18.E.V 18.H.C 18.U.V 18.T.c	2.0 1.5 1.75 1.3 0.8	0	50
167	9	bahú	dherai,	dʱeɾʌi	Nepali	367	dʱ e ɾ ʌi	1 7 5 7	AXBZ	TERE	10	10.T.C 10.E.V 10.R.C 10.E.V	2.0 1.5 1.75 0.8	0	59
168	9	bahú	ज़āde,	ज़āde	Bhojpuri	1205	ज ़ ā d e	0 0 7 1 7	ACYBZ	00ATE	3	3.0.C 3.0.C 3.A.V 3.T.C 3.E.V	2.0 1.5 1.3 1.75 0.8	0	52
169	9	bahú	bahut	boːɦtᵊ	Punjabi	51	b oː ɦ tᵊ	1 7 3 1	AXLN	PUHT	13	13.P.C 13.U.V 13.H.c 13.T.c	2.0 1.5 1.1 0.8	0	62
170	9	bahú	ghaṇā	gʰaṇɑː	Sindhi	193	gʰ a ṇ ɑː	1 7 4 7	AXBZ	KANA	16	16.K.C 16.A.V 16.N.C 16.A.V	2.0 1.5 1.75 0.8	0	65
171	9	bahú	bahu,	ˈbəɦu	Gujarati	193	ˈb ə ɦ u	1 7 3 7	AXBZ	PEHY	5	5.P.C 5.E.V 5.H.C 5.Y.V	2.0 1.5 1.75 0.8	0	50
172	9	bahú	puṣkaḷ,	puṣkɑḷ	Marathi	280	p u ṣ k ɑ ḷ	1 7 3 1 7 5	AXMBYN	PYSKAL	9	9.P.C 9.Y.V 9.S.c 9.K.C 9.A.V 9.L.c	2.0 1.5 1.1 1.75 1.3 0.8	0	58
173	9	bahú	khūb	kʰuːb	Konkani	-5	kʰ uː b	1 7 1	AXN	KYP	8	8.K.C 8.Y.V 8.P.c	2.0 1.5 0.8	0	57
174	9	bahú	bohut	bɔɦut	Assamese	51	b ɔ ɦ u t	1 7 3 7 1	AXBYN	PUHYT	1	1.P.C 1.U.V 1.H.C 1.Y.V 1.T.c	2.0 1.5 1.75 1.3 0.8	0	50
175	9	bahú	ônek	ɔnek	Bengali	51	ɔ n e k	7 4 7 1	XBYN	UNEK	2	2.U.V 2.N.C 2.E.V 2.K.c	1.5 1.75 1.3 0.8	0	51
176	9	bahú	ônekô,	ɔnekɔ	Oriya	51	ɔ n e k ɔ	7 4 7 1 7	XBYBZ	UNEKU	11	11.U.V 11.N.C 11.E.V 11.K.C 11.U.V	1.5 1.75 1.3 1.75 0.8	0	51
177	9	bahú	None	None	Kashmiri	1208	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	56
178	9	bahú	goḍak,	goʊḍak	Sinhalese	51	g oʊ ḍ a k	1 7 1 7 1	AXBYN	KUTAK	17	17.K.C 17.U.V 17.T.C 17.A.V 17.K.c	2.0 1.5 1.75 1.3 0.8	0	66
179	9	bahú	baivaru	baivaru	Dhivehi	51	b ai v a r u	1 7 3 7 5 7	AXBYBZ	PABARY	4	4.P.C 4.A.V 4.B.C 4.A.V 4.R.C 4.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	0	53
180	9	bahú	but	bʌt	Romani	51	b ʌ t	1 7 1	AXN	PET	14	14.P.C 14.E.V 14.T.c	2.0 1.5 0.8	0	61
#
397	22	bī́ja	bī́ja	biːdʒ	Sanskrit	1629	b iː d ʒ	1 7 1 3	AXBC	PITS	15	15.P.C 15.I.V 15.T.C 15.S.C	2.0 1.5 1.75 1.5	0	69
398	22	bī́ja	bīja	biːdʒ	Pali	1633	b iː d ʒ	1 7 1 3	AXBC	PITS	12	12.P.C 12.I.V 12.T.C 12.S.C	2.0 1.5 1.75 1.5	0	69
399	22	bī́ja	bīj	biːdʒ	Hindi	72	b iː d ʒ	1 7 1 3	AXBC	PITS	6	6.P.C 6.I.V 6.T.C 6.S.C	2.0 1.5 1.75 1.5	0	69
400	22	bī́ja	bīj	biːdʒ	Urdu	72	b iː d ʒ	1 7 1 3	AXBC	PITS	18	18.P.C 18.I.V 18.T.C 18.S.C	2.0 1.5 1.75 1.5	0	69
401	22	bī́ja	bīu,	biu	Nepali	72	b iu	1 7	AX	PI	10	10.P.C 10.I.V	2.0 1.5	0	69
402	22	bī́ja	bīyā	biːwaɪɑː	Bhojpuri	1625	b iː w aɪɑː	1 7 6 7	AXBZ	PIWA	3	3.P.C 3.I.V 3.W.C 3.A.V	2.0 1.5 1.75 0.8	0	69
403	22	bī́ja	bīj	biːdʒə	Punjabi	72	b iː d ʒ ə	1 7 1 3 7	AXBCZ	PITSE	13	13.P.C 13.I.V 13.T.C 13.S.C 13.E.V	2.0 1.5 1.75 1.5 0.8	0	69
404	22	bī́ja	ɓiju	biːdʒu	Sindhi	72	b iː d ʒ u	1 7 1 3 7	AXBCZ	PITSY	16	16.P.C 16.I.V 16.T.C 16.S.C 16.Y.V	2.0 1.5 1.75 1.5 0.8	0	69
405	22	bī́ja	bīj	biːdʒ	Gujarati	72	b iː d ʒ	1 7 1 3	AXBC	PITS	5	5.P.C 5.I.V 5.T.C 5.S.C	2.0 1.5 1.75 1.5	0	69
406	22	bī́ja	bī	biː	Marathi	72	b iː	1 7	AX	PI	9	9.P.C 9.I.V	2.0 1.5	0	69
407	22	bī́ja	bī	biː	Konkani	72	b iː	1 7	AX	PI	8	8.P.C 8.I.V	2.0 1.5	0	69
408	22	bī́ja	guti	ɡuti	Assamese	72	ɡ u t i	1 7 1 7	AXBZ	KYTI	1	1.K.C 1.Y.V 1.T.C 1.I.V	2.0 1.5 1.75 0.8	0	67
409	22	bī́ja	bici	bici	Bengali	72	b i c i	1 7 1 7	AXBZ	PICI	2	2.P.C 2.I.V 2.C.C 2.I.V	2.0 1.5 1.75 0.8	0	68
410	22	bī́ja	môñji	mɔñdʒi	Oriya	72	m ɔ ñ d ʒ i	4 7 4 1 3 7	AXMBCZ	MUNTSI	11	11.M.C 11.U.V 11.N.c 11.T.C 11.S.C 11.I.V	2.0 1.5 1.1 1.75 1.5 0.8	0	77
411	22	bī́ja	None	None	Kashmiri	1630	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	73
412	22	bī́ja	bīja	biːdʒa	Sinhalese	-5	b iː d ʒ a	1 7 1 3 7	AXBCZ	PITSA	17	17.P.C 17.I.V 17.T.C 17.S.C 17.A.V	2.0 1.5 1.75 1.5 0.8	0	69
413	22	bī́ja	oṣu	oʊṣu	Dhivehi	543	oʊ ṣ u	7 3 7	XBZ	USY	4	4.U.V 4.S.C 4.Y.V	1.5 1.75 0.8	0	70
414	22	bī́ja	sumburo	sumburo	Romani	-13	s u m b u r o	3 7 4 1 7 5 7	AXMBYBZ	SYMPYRU	14	14.S.C 14.Y.V 14.M.c 14.P.C 14.Y.V 14.R.C 14.U.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	80
#
469	26	cárman,	cárman,	tɕɐɾmɐn	Sanskrit	1706	t ɕ ɐ ɾ m ɐ n	1 3 7 5 4 7 4	ACXMBYN	TSERMEN	15	15.T.C 15.S.C 15.E.V 15.R.c 15.M.C 15.E.V 15.N.c	2.0 1.5 1.5 1.1 1.75 1.3 0.8	0	82
470	26	cárman,	camma	ˈkamma	Pali	1705	ˈk a mm a	1 7 4 7	AXBZ	KAMA	12	12.K.C 12.A.V 12.M.C 12.A.V	2.0 1.5 1.75 0.8	0	92
471	26	cárman,	camṛī,	tʃəmɽiː	Hindi	74	t ʃ ə m ɽ iː	1 3 7 4 5 7	ACXBCZ	TSEMRI	6	6.T.C 6.S.C 6.E.V 6.M.C 6.R.C 6.I.V	2.0 1.5 1.5 1.75 1.5 0.8	0	82
472	26	cárman,	jild	dʒild	Urdu	74	d ʒ i l d	1 3 7 5 1	ACXLN	TSILT	18	18.T.C 18.S.C 18.I.V 18.L.c 18.T.c	2.0 1.5 1.5 1.1 0.8	0	81
473	26	cárman,	chālā	tʃʰɑːlɑː	Nepali	74	t ʃʰ ɑː l ɑː	1 3 7 5 7	ACXBZ	TSALA	10	10.T.C 10.S.C 10.A.V 10.L.C 10.A.V	2.0 1.5 1.5 1.75 0.8	0	81
474	26	cárman,	camṛī	tʃəmɽiː	Bhojpuri	1702	t ʃ ə m ɽ iː	1 3 7 4 5 7	ACXBCZ	TSEMRI	3	3.T.C 3.S.C 3.E.V 3.M.C 3.R.C 3.I.V	2.0 1.5 1.5 1.75 1.5 0.8	0	82
475	26	cárman,	camṛī	tʃəmɽiː	Punjabi	74	t ʃ ə m ɽ iː	1 3 7 4 5 7	ACXBCZ	TSEMRI	13	13.T.C 13.S.C 13.E.V 13.M.C 13.R.C 13.I.V	2.0 1.5 1.5 1.75 1.5 0.8	0	82
476	26	cárman,	khala	kʰɑːlɑ	Sindhi	74	kʰ ɑː l ɑ	1 7 5 7	AXBZ	KALA	16	16.K.C 16.A.V 16.L.C 16.A.V	2.0 1.5 1.75 0.8	0	92
477	26	cárman,	cāmḍī	tʃɑːmɖiː	Gujarati	74	t ʃ ɑː m ɖ iː	1 3 7 4 1 7	ACXMBZ	TSAMTI	5	5.T.C 5.S.C 5.A.V 5.M.c 5.T.C 5.I.V	2.0 1.5 1.5 1.1 1.75 0.8	0	82
478	26	cárman,	tvacā	tʋətʃɑː	Marathi	74	t ʋ ə t ʃ ɑː	1 6 7 1 3 7	ACXBCZ	TWETSA	9	9.T.C 9.W.C 9.E.V 9.T.C 9.S.C 9.A.V	2.0 1.5 1.5 1.75 1.5 0.8	0	89
479	26	cárman,	kāt	None	Konkani	74	N o n e	0 7 4 7	AXBZ	0UNE	8	8.0.C 8.U.V 8.N.C 8.E.V	2.0 1.5 1.75 0.8	0	88
480	26	cárman,	sal,	sal	Assamese	348	s a l	3 7 5	AXN	SAL	1	1.S.C 1.A.V 1.L.c	2.0 1.5 0.8	0	81
481	26	cárman,	camṛa	tʃɑmɽɑ	Bengali	74	t ʃ ɑ m ɽ ɑ	1 3 7 4 5 7	ACXBCZ	TSAMRA	2	2.T.C 2.S.C 2.A.V 2.M.C 2.R.C 2.A.V	2.0 1.5 1.5 1.75 1.5 0.8	0	82
482	26	cárman,	cômôṛa,	tʃɔmɔɽɑ	Oriya	74	t ʃ ɔ m ɔ ɽ ɑ	1 3 7 4 7 5 7	ACXBYBZ	TSUMURA	11	11.T.C 11.S.C 11.U.V 11.M.C 11.U.V 11.R.C 11.A.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	0	82
483	26	cárman,	None	None	Kashmiri	1707	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	87
484	26	cárman,	ham	hæm	Sinhalese	74	h æ m	3 7 4	AXN	HEM	17	17.H.C 17.E.V 17.M.c	2.0 1.5 0.8	0	97
485	26	cárman,	han̊	han̊	Dhivehi	74	h a n̊	3 7 4	AXN	HAN	4	4.H.C 4.A.V 4.N.c	2.0 1.5 0.8	0	84
486	26	cárman,	morthǐ	morthǐ	Romani	-14	m o r t h ǐ	4 7 5 1 3 7	AXMBCZ	MURTHI	14	14.M.C 14.U.V 14.R.c 14.T.C 14.H.C 14.I.V	2.0 1.5 1.1 1.75 1.5 0.8	0	94
#
1062	59	dhūmá	dhūmá	dʱuːm	Sanskrit	1767	dʱ uː m	1 7 4	AXN	TYM	15	15.T.C 15.Y.V 15.M.c	2.0 1.5 0.8	0	98
1063	59	dhūmá	dhūma	None	Pali	1774	N o n e	0 7 4 7	AXBZ	0UNE	12	12.0.C 12.U.V 12.N.C 12.E.V	2.0 1.5 1.75 0.8	1	109
1064	59	dhūmá	dhuā̃	dʱuːɑː	Hindi	78	dʱ uːɑː	1 7	AX	TY	6	6.T.C 6.Y.V	2.0 1.5	0	98
1065	59	dhūmá	dhūā̃	tũːäː	Urdu	78	t ũː äː	1 7 7	AXZ	TYA	18	18.T.C 18.Y.V 18.A.V	2.0 1.5 0.8	0	98
1066	59	dhūmá	dhuwā̃	dʱṳwä	Nepali	78	dʱ ṳ w ä	1 7 6 7	AXBZ	TYWA	10	10.T.C 10.Y.V 10.W.C 10.A.V	2.0 1.5 1.75 0.8	0	98
1067	59	dhūmá	dhuā̃	dʱuːɑː	Bhojpuri	1767	dʱ uːɑː	1 7	AX	TY	3	3.T.C 3.Y.V	2.0 1.5	0	98
1068	59	dhūmá	dhū̃ā̃	tũːäː	Punjabi	78	t ũː äː	1 7 7	AXZ	TYA	13	13.T.C 13.Y.V 13.A.V	2.0 1.5 0.8	0	98
1069	59	dhūmá	dū̃hõ	duːʱo	Sindhi	78	d uːʱo	1 7	AX	TY	16	16.T.C 16.Y.V	2.0 1.5	0	98
1070	59	dhūmá	dhumāḍo	dʱumɑːdo	Gujarati	78	dʱ u m ɑː d o	1 7 4 7 1 7	AXBYBZ	TYMATU	5	5.T.C 5.Y.V 5.M.C 5.A.V 5.T.C 5.U.V	2.0 1.5 1.75 1.3 1.75 0.8	0	102
1071	59	dhūmá	dhūr	dʱuɾ	Marathi	78	dʱ u ɾ	1 7 5	AXN	TYR	9	9.T.C 9.Y.V 9.R.c	2.0 1.5 0.8	0	98
1072	59	dhūmá	dhuuvar	dʱumɑːdo	Konkani	78	dʱ u m ɑː d o	1 7 4 7 1 7	AXBYBZ	TYMATU	8	8.T.C 8.Y.V 8.M.C 8.A.V 8.T.C 8.U.V	2.0 1.5 1.75 1.3 1.75 0.8	0	102
1073	59	dhūmá	dhü̃a	dʱuɑː	Assamese	78	dʱ uɑː	1 7	AX	TY	1	1.T.C 1.Y.V	2.0 1.5	0	98
1074	59	dhūmá	dhũẏo	ũʱːjːo	Bengali	78	ũʱː jː o	7 6 7	XBZ	YJU	2	2.Y.V 2.J.C 2.U.V	1.5 1.75 0.8	0	99
1075	59	dhūmá	dhuam̐	dhuam̐	Oriya	78	d h ua m̐	1 3 7 4	ACXN	THYM	11	11.T.C 11.H.C 11.Y.V 11.M.c	2.0 1.5 1.5 0.8	0	98
1076	59	dhūmá	None	None	Kashmiri	1771	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	104
1077	59	dhūmá	duma	duma	Sinhalese	78	d u m a	1 7 4 7	AXBZ	TYMA	17	17.T.C 17.Y.V 17.M.C 17.A.V	2.0 1.5 1.75 0.8	0	101
1078	59	dhūmá	dun̊	dun̊	Dhivehi	78	d u n̊	1 7 4	AXN	TYN	4	4.T.C 4.Y.V 4.N.c	2.0 1.5 0.8	0	101
1079	59	dhūmá	thuv	tʱuv	Romani	78	tʱ u v	1 7 3	AXN	TYB	14	14.T.C 14.Y.V 14.B.c	2.0 1.5 0.8	0	111
#
199	11	dví	dví	dví	Sanskrit	2217	d v í	1 3 7	ACX	TBI	15	15.T.C 15.B.C 15.I.V	2.0 1.5 1.5	0	126
200	11	dví	dve	dʋêː	Pali	2210	d ʋ êː	1 6 7	ACX	TWE	12	12.T.C 12.W.C 12.E.V	2.0 1.5 1.5	0	112
201	11	dví	do	doː	Hindi	91	d oː	1 7	AX	TU	6	6.T.C 6.U.V	2.0 1.5	0	117
202	11	dví	do	du	Urdu	91	d u	1 7	AX	TY	18	18.T.C 18.Y.V	2.0 1.5	0	112
203	11	dví	duī	dui	Nepali	91	d ui	1 7	AX	TY	10	10.T.C 10.Y.V	2.0 1.5	0	112
204	11	dví	du	du	Bhojpuri	2211	d u	1 7	AX	TY	3	3.T.C 3.Y.V	2.0 1.5	0	112
205	11	dví	do	doː	Punjabi	91	d oː	1 7	AX	TU	13	13.T.C 13.U.V	2.0 1.5	0	117
206	11	dví	ɓa	ɓa	Sindhi	91	ɓ a	1 7	AX	PA	16	16.P.C 16.A.V	2.0 1.5	0	116
207	11	dví	be	be	Gujarati	91	b e	1 7	AX	PE	5	5.P.C 5.E.V	2.0 1.5	0	116
208	11	dví	don	don	Marathi	91	d o n	1 7 4	AXN	TUN	9	9.T.C 9.U.V 9.N.c	2.0 1.5 0.8	0	117
209	11	dví	don	don	Konkani	91	d o n	1 7 4	AXN	TUN	8	8.T.C 8.U.V 8.N.c	2.0 1.5 0.8	0	117
210	11	dví	dui	dui	Assamese	91	d ui	1 7	AX	TY	1	1.T.C 1.Y.V	2.0 1.5	0	112
211	11	dví	dui	dui	Bengali	91	d ui	1 7	AX	TY	2	2.T.C 2.Y.V	2.0 1.5	0	112
212	11	dví	dui	dui	Oriya	91	d ui	1 7	AX	TY	11	11.T.C 11.Y.V	2.0 1.5	0	112
213	11	dví	zụ	zɨ	Kashmiri	2214	z ɨ	3 7	AX	SI	7	7.S.C 7.I.V	2.0 1.5	0	118
214	11	dví	deka	deka	Sinhalese	91	d e k a	1 7 1 7	AXBZ	TEKA	17	17.T.C 17.E.V 17.K.C 17.A.V	2.0 1.5 1.75 0.8	0	128
215	11	dví	dēṣ̊	diēṣ̊	Dhivehi	91	d i ē ṣ̊	1 7 7 3	AXYN	TIES	4	4.T.C 4.I.V 4.E.V 4.S.c	2.0 1.5 1.3 0.8	0	115
216	11	dví	duj	duj	Romani	91	d u j	1 7 6	AXN	TYJ	14	14.T.C 14.Y.V 14.J.c	2.0 1.5 0.8	0	112
#
