# Wordlist

# DATA
ID	COGNACY	CONCEPT	COUNTERPART	IPA	DOCULECT	COGID	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	LEXSTATID
388	25	bark	potu	None	Sinhalese	383	N o n e	0 7 4 7	AXBZ	0UNE	14	14.0.C 14.U.V 14.N.C 14.E.V	2.0 1.5 1.75 0.8	1	52
389	25	bark	toṣi	None	Dhivehi	523	N o n e	0 7 4 7	AXBZ	0UNE	3	3.0.C 3.U.V 3.N.C 3.E.V	2.0 1.5 1.75 0.8	1	46
390	25	bark	korca	None	Romani	-1	N o n e	0 7 4 7	AXBZ	0UNE	12	12.0.C 12.U.V 12.N.C 12.E.V	2.0 1.5 1.75 0.8	1	55
#
676	45	belly	belly	ˈbɛli	English	139	ˈb ɛ l i	1 7 5 7	AXBZ	PELI	4	4.P.C 4.E.V 4.L.C 4.I.V	2.0 1.5 1.75 0.8	0	62
677	45	belly	peṭ	peːʈ	Hindi	678	p eː ʈ	1 7 1	AXN	PET	6	6.P.C 6.E.V 6.T.c	2.0 1.5 0.8	0	59
678	45	belly	peṭ	None	Urdu	678	N o n e	0 7 4 7	AXBZ	0UNE	15	15.0.C 15.U.V 15.N.C 15.E.V	2.0 1.5 1.75 0.8	1	73
679	45	belly	peṭ	None	Nepali	678	N o n e	0 7 4 7	AXBZ	0UNE	9	9.0.C 9.U.V 9.N.C 9.E.V	2.0 1.5 1.75 0.8	1	67
680	45	belly	ḍhiḍḍa	None	Punjabi	678	N o n e	0 7 4 7	AXBZ	0UNE	11	11.0.C 11.U.V 11.N.C 11.E.V	2.0 1.5 1.75 0.8	1	69
681	45	belly	peṭu	None	Sindhi	678	N o n e	0 7 4 7	AXBZ	0UNE	13	13.0.C 13.U.V 13.N.C 13.E.V	2.0 1.5 1.75 0.8	1	71
682	45	belly	peṭ	None	Gujarati	678	N o n e	0 7 4 7	AXBZ	0UNE	5	5.0.C 5.U.V 5.N.C 5.E.V	2.0 1.5 1.75 0.8	1	63
683	45	belly	poṭ	None	Marathi	-1	N o n e	0 7 4 7	AXBZ	0UNE	8	8.0.C 8.U.V 8.N.C 8.E.V	2.0 1.5 1.75 0.8	1	66
684	45	belly	poṭ	None	Konkani	-1	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	65
685	45	belly	pet	pɛt	Assamese	678	p ɛ t	1 7 1	AXN	PET	1	1.P.C 1.E.V 1.T.c	2.0 1.5 0.8	0	59
686	45	belly	peṭ	pɛt	Bengali	678	p ɛ t	1 7 1	AXN	PET	2	2.P.C 2.E.V 2.T.c	2.0 1.5 0.8	0	59
687	45	belly	peṭô	peʈɔ	Oriya	678	p e ʈ ɔ	1 7 1 7	AXBZ	PETU	10	10.P.C 10.E.V 10.T.C 10.U.V	2.0 1.5 1.75 0.8	0	59
688	45	belly	baḍa	None	Sinhalese	329	N o n e	0 7 4 7	AXBZ	0UNE	14	14.0.C 14.U.V 14.N.C 14.E.V	2.0 1.5 1.75 0.8	1	66
689	45	belly	baⁿḍu	None	Dhivehi	329	N o n e	0 7 4 7	AXBZ	0UNE	3	3.0.C 3.U.V 3.N.C 3.E.V	2.0 1.5 1.75 0.8	1	61
690	45	belly	per	pɜːɹ	Romani	678	p ɜː ɹ	1 7 5	AXN	PER	12	12.P.C 12.E.V 12.R.c	2.0 1.5 0.8	0	70
#
181	12	big	big	bɪɡ	English	156	b ɪ ɡ	1 7 1	AXN	PIK	4	4.P.C 4.I.V 4.K.c	2.0 1.5 0.8	0	77
182	12	big	baṛā	bəɽɑː	Hindi	5	b ə ɽ ɑː	1 7 5 7	AXBZ	PERA	6	6.P.C 6.E.V 6.R.C 6.A.V	2.0 1.5 1.75 0.8	0	75
183	12	big	baṛā	bəɽɑː	Urdu	5	b ə ɽ ɑː	1 7 5 7	AXBZ	PERA	15	15.P.C 15.E.V 15.R.C 15.A.V	2.0 1.5 1.75 0.8	0	75
184	12	big	ṭhūlo	ʈʰulo	Nepali	358	ʈʰ u l o	1 7 5 7	AXBZ	TYLU	9	9.T.C 9.Y.V 9.L.C 9.U.V	2.0 1.5 1.75 0.8	0	82
185	12	big	vaḍḍā	None	Punjabi	5	N o n e	0 7 4 7	AXBZ	0UNE	11	11.0.C 11.U.V 11.N.C 11.E.V	2.0 1.5 1.75 0.8	1	84
186	12	big	vaᶑo	None	Sindhi	5	N o n e	0 7 4 7	AXBZ	0UNE	13	13.0.C 13.U.V 13.N.C 13.E.V	2.0 1.5 1.75 0.8	1	86
187	12	big	moṭũ	None	Gujarati	248	N o n e	0 7 4 7	AXBZ	0UNE	5	5.0.C 5.U.V 5.N.C 5.E.V	2.0 1.5 1.75 0.8	1	78
188	12	big	moṭhe	None	Marathi	248	N o n e	0 7 4 7	AXBZ	0UNE	8	8.0.C 8.U.V 8.N.C 8.E.V	2.0 1.5 1.75 0.8	1	81
189	12	big	vhoḍ	None	Konkani	5	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	80
190	12	big	daṅor	daŋɔɹ	Assamese	5	d a ŋ ɔ ɹ	1 7 4 7 5	AXBYN	TANUR	1	1.T.C 1.A.V 1.N.C 1.U.V 1.R.c	2.0 1.5 1.75 1.3 0.8	0	74
191	12	big	bôṛ	ˈbɔɽo	Bengali	5	ˈb ɔ ɽ o	1 7 5 7	AXBZ	PURU	2	2.P.C 2.U.V 2.R.C 2.U.V	2.0 1.5 1.75 0.8	0	75
192	12	big	bôṛô	bɔɽɔ	Oriya	5	b ɔ ɽ ɔ	1 7 5 7	AXBZ	PURU	10	10.P.C 10.U.V 10.R.C 10.U.V	2.0 1.5 1.75 0.8	0	75
193	12	big	loku	None	Sinhalese	385	N o n e	0 7 4 7	AXBZ	0UNE	14	14.0.C 14.U.V 14.N.C 14.E.V	2.0 1.5 1.75 0.8	1	81
194	12	big	boḍu	None	Dhivehi	669	N o n e	0 7 4 7	AXBZ	0UNE	3	3.0.C 3.U.V 3.N.C 3.E.V	2.0 1.5 1.75 0.8	1	76
195	12	big	baro	ˈbaːrəʊ	Romani	5	ˈb aː r əʊ	1 7 5 7	AXBZ	PARE	12	12.P.C 12.A.V 12.R.C 12.E.V	2.0 1.5 1.75 0.8	0	75
#
271	18	bird	bird	bɜːd	English	173	b ɜː d	1 7 1	AXN	PET	4	4.P.C 4.E.V 4.T.c	2.0 1.5 0.8	0	90
272	18	bird	ciṛiyā	tʃɪɽɪjɑː	Hindi	6	t ʃ ɪ ɽ ɪ j ɑː	1 3 7 5 7 6 7	ACXBYBZ	TSIRIJA	6	6.T.C 6.S.C 6.I.V 6.R.C 6.I.V 6.J.C 6.A.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	0	87
273	18	bird	ciṛiyā	tʃɪɽɪjɑː	Urdu	6	t ʃ ɪ ɽ ɪ j ɑː	1 3 7 5 7 6 7	ACXBYBZ	TSIRIJA	15	15.T.C 15.S.C 15.I.V 15.R.C 15.I.V 15.J.C 15.A.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	0	87
274	18	bird	carā	None	Nepali	6	N o n e	0 7 4 7	AXBZ	0UNE	9	9.0.C 9.U.V 9.N.C 9.E.V	2.0 1.5 1.75 0.8	1	95
275	18	bird	pañchī	None	Punjabi	7	N o n e	0 7 4 7	AXBZ	0UNE	11	11.0.C 11.U.V 11.N.C 11.E.V	2.0 1.5 1.75 0.8	1	97
276	18	bird	pakhī	None	Sindhi	7	N o n e	0 7 4 7	AXBZ	0UNE	13	13.0.C 13.U.V 13.N.C 13.E.V	2.0 1.5 1.75 0.8	1	99
277	18	bird	paṅkhī	ˈpəkʃi	Gujarati	7	ˈp ə k ʃ i	1 7 1 3 7	AXBCZ	PEKSI	5	5.P.C 5.E.V 5.K.C 5.S.C 5.I.V	2.0 1.5 1.75 1.5 0.8	0	91
278	18	bird	pakṣī	pakʰɾu	Marathi	-2	p a kʰ ɾ u	1 7 1 5 7	AXBCZ	PAKRY	8	8.P.C 8.A.V 8.K.C 8.R.C 8.Y.V	2.0 1.5 1.75 1.5 0.8	0	88
279	18	bird	pakṣi	None	Konkani	7	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	93
280	18	bird	sorai	sɔɹaɪ	Assamese	6	s ɔ ɹ aɪ	3 7 5 7	AXBZ	SURA	1	1.S.C 1.U.V 1.R.C 1.A.V	2.0 1.5 1.75 0.8	0	87
281	18	bird	pakhi	pakʰi	Bengali	7	p a kʰ i	1 7 1 7	AXBZ	PAKI	2	2.P.C 2.A.V 2.K.C 2.I.V	2.0 1.5 1.75 0.8	0	88
282	18	bird	côṛhei	pɔksi	Oriya	6	p ɔ k s i	1 7 1 3 7	AXBCZ	PUKSI	10	10.P.C 10.U.V 10.K.C 10.S.C 10.I.V	2.0 1.5 1.75 1.5 0.8	0	91
283	18	bird	kurullā	None	Sinhalese	-1	N o n e	0 7 4 7	AXBZ	0UNE	14	14.0.C 14.U.V 14.N.C 14.E.V	2.0 1.5 1.75 0.8	1	95
284	18	bird	dūni	None	Dhivehi	524	N o n e	0 7 4 7	AXBZ	0UNE	3	3.0.C 3.U.V 3.N.C 3.E.V	2.0 1.5 1.75 0.8	1	89
285	18	bird	ćiriklo	None	Romani	6	N o n e	0 7 4 7	AXBZ	0UNE	12	12.0.C 12.U.V 12.N.C 12.E.V	2.0 1.5 1.75 0.8	1	98
#
1021	68	black	black	blæk	English	206	b l æ k	1 5 7 1	ACXN	PLEK	4	4.P.C 4.L.C 4.E.V 4.K.c	2.0 1.5 1.5 0.8	0	103
1022	68	black	kālā	kɑːlɑː	Hindi	9	k ɑː l ɑː	1 7 5 7	AXBZ	KALA	6	6.K.C 6.A.V 6.L.C 6.A.V	2.0 1.5 1.75 0.8	0	100
1023	68	black	siyāh	None	Urdu	9	N o n e	0 7 4 7	AXBZ	0UNE	15	15.0.C 15.U.V 15.N.C 15.E.V	2.0 1.5 1.75 0.8	1	114
1024	68	black	kālo	kälo	Nepali	9	k ä l o	1 7 5 7	AXBZ	KALU	9	9.K.C 9.A.V 9.L.C 9.U.V	2.0 1.5 1.75 0.8	0	100
1025	68	black	kālā	None	Punjabi	9	N o n e	0 7 4 7	AXBZ	0UNE	11	11.0.C 11.U.V 11.N.C 11.E.V	2.0 1.5 1.75 0.8	1	110
1026	68	black	kāro	None	Sindhi	9	N o n e	0 7 4 7	AXBZ	0UNE	13	13.0.C 13.U.V 13.N.C 13.E.V	2.0 1.5 1.75 0.8	1	112
1027	68	black	kāḷo	None	Gujarati	9	N o n e	0 7 4 7	AXBZ	0UNE	5	5.0.C 5.U.V 5.N.C 5.E.V	2.0 1.5 1.75 0.8	1	104
1028	68	black	kāḷe	None	Marathi	9	N o n e	0 7 4 7	AXBZ	0UNE	8	8.0.C 8.U.V 8.N.C 8.E.V	2.0 1.5 1.75 0.8	1	107
1029	68	black	kāḷo	None	Konkani	9	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	106
1030	68	black	köla	kola	Assamese	9	k o l a	1 7 5 7	AXBZ	KULA	1	1.K.C 1.U.V 1.L.C 1.A.V	2.0 1.5 1.75 0.8	0	100
1031	68	black	kalo	kalo	Bengali	9	k a l o	1 7 5 7	AXBZ	KALU	2	2.K.C 2.A.V 2.L.C 2.U.V	2.0 1.5 1.75 0.8	0	100
1032	68	black	kôḷa	None	Oriya	9	N o n e	0 7 4 7	AXBZ	0UNE	10	10.0.C 10.U.V 10.N.C 10.E.V	2.0 1.5 1.75 0.8	1	109
1033	68	black	kaḷu	None	Sinhalese	9	N o n e	0 7 4 7	AXBZ	0UNE	14	14.0.C 14.U.V 14.N.C 14.E.V	2.0 1.5 1.75 0.8	1	107
1034	68	black	kaḷu	None	Dhivehi	9	N o n e	0 7 4 7	AXBZ	0UNE	3	3.0.C 3.U.V 3.N.C 3.E.V	2.0 1.5 1.75 0.8	1	102
1035	68	black	kalo	ˈkaloʔ	Romani	9	ˈk a l o ʔ	1 7 5 7 1	AXBYN	KALUH	12	12.K.C 12.A.V 12.L.C 12.U.V 12.H.c	2.0 1.5 1.75 1.3 0.8	0	111
#
421	28	blood	blood	blʌd	English	221	b l ʌ d	1 5 7 1	ACXN	PLET	4	4.P.C 4.L.C 4.E.V 4.T.c	2.0 1.5 1.5 0.8	0	118
422	28	blood	xūn	kʰuːn	Hindi	10	kʰ uː n	1 7 4	AXN	KYN	6	6.K.C 6.Y.V 6.N.c	2.0 1.5 0.8	0	120
423	28	blood	xūn	xuːn	Urdu	10	x uː n	3 7 4	AXN	GYN	15	15.G.C 15.Y.V 15.N.c	2.0 1.5 0.8	0	120
424	28	blood	ragat	None	Nepali	-1	N o n e	0 7 4 7	AXBZ	0UNE	9	9.0.C 9.U.V 9.N.C 9.E.V	2.0 1.5 1.75 0.8	1	123
425	28	blood	xūn	None	Punjabi	10	N o n e	0 7 4 7	AXBZ	0UNE	11	11.0.C 11.U.V 11.N.C 11.E.V	2.0 1.5 1.75 0.8	1	125
426	28	blood	ratu	ɾʊtːᵊ	Sindhi	115	ɾ ʊ tːᵊ	5 7 1	AXN	RYT	13	13.R.C 13.Y.V 13.T.c	2.0 1.5 0.8	0	116
427	28	blood	lohī	None	Gujarati	10	N o n e	0 7 4 7	AXBZ	0UNE	5	5.0.C 5.U.V 5.N.C 5.E.V	2.0 1.5 1.75 0.8	1	119
428	28	blood	rakta	ɾəkt	Marathi	-3	ɾ ə k t	5 7 1 1	AXLN	REKT	8	8.R.C 8.E.V 8.K.c 8.T.c	2.0 1.5 1.1 0.8	0	116
429	28	blood	ragat	None	Konkani	-2	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	121
430	28	blood	tez	None	Assamese	-33	N o n e	0 7 4 7	AXBZ	0UNE	1	1.0.C 1.U.V 1.N.C 1.E.V	2.0 1.5 1.75 0.8	1	115
431	28	blood	rôkt	rɔkto	Bengali	-1	r ɔ k t o	5 7 1 1 7	AXMBZ	RUKTU	2	2.R.C 2.U.V 2.K.c 2.T.C 2.U.V	2.0 1.5 1.1 1.75 0.8	0	116
432	28	blood	rôktô	None	Oriya	-1	N o n e	0 7 4 7	AXBZ	0UNE	10	10.0.C 10.U.V 10.N.C 10.E.V	2.0 1.5 1.75 0.8	1	124
433	28	blood	lē	leː	Sinhalese	10	l eː	5 7	AX	LE	14	14.L.C 14.E.V	2.0 1.5	0	128
434	28	blood	lē	None	Dhivehi	10	N o n e	0 7 4 7	AXBZ	0UNE	3	3.0.C 3.U.V 3.N.C 3.E.V	2.0 1.5 1.75 0.8	1	117
435	28	blood	rat	ɹæt	Romani	115	ɹ æ t	5 7 1	AXN	RET	12	12.R.C 12.E.V 12.T.c	2.0 1.5 0.8	0	116
#
436	29	bone	bone	ˈboʊn	English	245	ˈb oʊ n	1 7 4	AXN	PUN	4	4.P.C 4.U.V 4.N.c	2.0 1.5 0.8	0	132
437	29	bone	haḍḍī	ɦəɖɖiː	Hindi	11	ɦ ə ɖɖ iː	3 7 1 7	AXBZ	HETI	6	6.H.C 6.E.V 6.T.C 6.I.V	2.0 1.5 1.75 0.8	0	134
438	29	bone	haḍḍī	None	Urdu	11	N o n e	0 7 4 7	AXBZ	0UNE	15	15.0.C 15.U.V 15.N.C 15.E.V	2.0 1.5 1.75 0.8	1	143
439	29	bone	hāḍ	ɦəɖɖiː	Nepali	11	ɦ ə ɖɖ iː	3 7 1 7	AXBZ	HETI	9	9.H.C 9.E.V 9.T.C 9.I.V	2.0 1.5 1.75 0.8	0	134
440	29	bone	haḍḍī	ɦəɖːiː	Punjabi	11	ɦ ə ɖː iː	3 7 1 7	AXBZ	HETI	11	11.H.C 11.E.V 11.T.C 11.I.V	2.0 1.5 1.75 0.8	0	134
441	29	bone	haᶑo	None	Sindhi	11	N o n e	0 7 4 7	AXBZ	0UNE	13	13.0.C 13.U.V 13.N.C 13.E.V	2.0 1.5 1.75 0.8	1	141
442	29	bone	hāḍkũ	None	Gujarati	11	N o n e	0 7 4 7	AXBZ	0UNE	5	5.0.C 5.U.V 5.N.C 5.E.V	2.0 1.5 1.75 0.8	1	133
443	29	bone	hāḍ	None	Marathi	11	N o n e	0 7 4 7	AXBZ	0UNE	8	8.0.C 8.U.V 8.N.C 8.E.V	2.0 1.5 1.75 0.8	1	136
444	29	bone	hāḍ	None	Konkani	11	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	135
445	29	bone	har	ɦaɹ	Assamese	11	ɦ a ɹ	3 7 5	AXN	HAR	1	1.H.C 1.A.V 1.R.c	2.0 1.5 0.8	0	129
446	29	bone	haṛ	ɦaɹ	Bengali	11	ɦ a ɹ	3 7 5	AXN	HAR	2	2.H.C 2.A.V 2.R.c	2.0 1.5 0.8	0	129
447	29	bone	haḍô	None	Oriya	11	N o n e	0 7 4 7	AXBZ	0UNE	10	10.0.C 10.U.V 10.N.C 10.E.V	2.0 1.5 1.75 0.8	1	138
448	29	bone	kaṭu	None	Sinhalese	11	N o n e	0 7 4 7	AXBZ	0UNE	14	14.0.C 14.U.V 14.N.C 14.E.V	2.0 1.5 1.75 0.8	1	136
449	29	bone	kaṣi	None	Dhivehi	11	N o n e	0 7 4 7	AXBZ	0UNE	3	3.0.C 3.U.V 3.N.C 3.E.V	2.0 1.5 1.75 0.8	1	131
