#
COGNACY	CONCEPT	COUNTERPART	IPA	DOCULECT
4	yūyám,	yūyám,	waɪūwaɪáɛm	Sanskrit
4	yūyám,	tumhe	tumhe	Pali
4	yūyám,	tum*,	ˈtʊm	Hindi
4	yūyám,	tum*,	tamma	Urdu
4	yūyám,	timīharū,	tɪmīhɑrū	Nepali
4	yūyám,	tuhnī	tuhnī	Bhojpuri
4	yūyám,	tusī̃	tuzī̃	Punjabi
4	yūyám,	tavhī̃,	tavhī̃	Sindhi
4	yūyám,	tame*,	teɪm	Gujarati
4	yūyám,	tumhī*,	tumʱi	Marathi
4	yūyám,	tumhī	tumʱi	Konkani
4	yūyám,	tohõt*,	tɔɦɔt	Assamese
4	yūyám,	tomra,	tomra	Bengali
4	yūyám,	tumemane,	tumemane	Oriya
4	yūyám,	toh'	toh'	Kashmiri
4	yūyám,	oyālā*,	ɔɪāɛlā	Sinhalese
4	yūyám,	kalēmen̊‎	kəleːmen	Dhivehi
4	yūyám,	tumen	None	Romani
5	té	té	tɐj	Sanskrit
5	té	te,	tiː	Pali
5	té	ye*,	jeː	Hindi
5	té	yeh*,	jeː	Urdu
5	té	yinīharu,	jɪnīharu	Nepali
5	té	uhnī	uhnī	Bhojpuri
5	té	iha*,	eː1	Punjabi
5	té	hī*,	hija	Sindhi
5	té	teo	ˈteɪoʊ	Gujarati
5	té	he*,	ɦeː	Marathi
5	té	tānhī	tiānhī	Konkani
5	té	xihõt,	xiɦɔt	Assamese
5	té	tara	t̪ara	Bengali
5	té	semane	semane	Oriya
5	té	hum*,	hʌm	Kashmiri
5	té	eyālā*,	eyāɛlā	Sinhalese
5	té	e	i	Dhivehi
5	té	on	ɒn	Romani
6	idám	idám	idɐm	Sanskrit
6	idám	ayaṃ,	ayaṃ	Pali
6	idám	yah	jəɦ	Hindi
6	idám	yeh	jɛ	Urdu
6	idám	yo	jo	Nepali
6	idám	ih	ɪɦ	Bhojpuri
6	idám	iha	eː1	Punjabi
6	idám	hī*,	hija	Sindhi
6	idám	ā	ɑː	Gujarati
6	idám	hā*,	ha	Marathi
6	idám	vho,	vho	Konkani
6	idám	ei	ɛi	Assamese
6	idám	e	ɛ	Bengali
6	idám	eha	eha	Oriya
6	idám	yi	ji	Kashmiri
6	idám	mē*	ɛmē	Sinhalese
6	idám	mi	mi	Dhivehi
6	idám	kado	kaːˈdoː	Romani
7	tát	tát	tɐt	Sanskrit
7	tát	asu,	ˈɑsu	Pali
7	tát	vah	ʋəɦ	Hindi
7	tát	voh	ʋoː	Urdu
7	tát	tyo	tjo	Nepali
7	tát	uh	ʌ	Bhojpuri
7	tát	uha	uha	Punjabi
7	tát	hū*,	huwa	Sindhi
7	tát	pelũ	pelũ	Gujarati
7	tát	to*,	toː	Marathi
7	tát	to,	toː	Konkani
7	tát	xei	xei	Assamese
7	tát	o	ʊ	Bengali
7	tát	taha	taha	Oriya
7	tát	ti	ti	Kashmiri
7	tát	ē*,	eː	Sinhalese
7	tát	tiޭ	tiޭ	Dhivehi
7	tát	kodo	ˈkodo	Romani
8	átra	átra	ɐtɾɐ	Sanskrit
8	átra	idha,	idha	Pali
8	átra	yahā̃	jəɦɑː	Hindi
8	átra	yahā̃	jəɦɑː	Urdu
8	átra	yahā̃	jəɦɑː	Nepali
8	átra	ihā̃	ihā̃	Bhojpuri
8	átra	itthe	ɪtʰːeː	Punjabi
8	átra	hite	haɪt	Sindhi
8	átra	ahī̃	ˈəɦĩ	Gujarati
8	átra	ithe,	ɪtʰeː	Marathi
8	átra	hāṅgā	ɦɑŋɑː	Konkani
8	átra	iat	iat	Assamese
8	átra	ekhane	ˈekʰane	Bengali
8	átra	eṭhare,	iṭhɛr	Oriya
8	átra	None	None	Kashmiri
8	átra	mehē,	mehē	Sinhalese
8	átra	mita	ˈmitə	Dhivehi
8	átra	kathe	kathe	Romani
9	tátra	tátra	tɐtɾɐ	Sanskrit
9	tátra	tattha	tatʰːaː	Pali
9	tátra	vahā̃	ʋəɦɑː	Hindi
9	tátra	vahā̃	ʋəɦɑː	Urdu
9	tátra	tyahā̃	tjäː	Nepali
9	tátra	uhā̃	ʊɦɑː	Bhojpuri
9	tátra	utthe	utthe	Punjabi
9	tátra	hute	hute	Sindhi
9	tátra	tyā̃	taɪā̃	Gujarati
9	tátra	tithe,	ˈtitʰeː	Marathi
9	tátra	thai	taɪ	Konkani
9	tátra	tat	tat	Assamese
9	tátra	okhane	ˈokʰane	Bengali
9	tátra	seṭhare,	seṭhare	Oriya
9	tátra	None	None	Kashmiri
9	tátra	ehē,	ɛē	Sinhalese
9	tátra	miṭā	miṭā	Dhivehi
9	tátra	kothe	koʊð	Romani
10	ká	ká	kə	Sanskrit
10	ká	ka	kɑː	Pali
10	ká	kaun	kɔːn	Hindi
10	ká	kaun	kʰuːn	Urdu
10	ká	ko	ko	Nepali
10	ká	kavan,	ˈkeɪvən	Bhojpuri
10	ká	kauṇ	kɔːɳə	Punjabi
10	ká	ker	kɜr	Sindhi
10	ká	koṇ	koʊṇ	Gujarati
10	ká	koṇ	koːɳ	Marathi
10	ká	koṇ	koːɳ	Konkani
10	ká	kün	kʊn	Assamese
10	ká	ke	ke	Bengali
10	ká	kie	kie	Oriya
10	ká	None	None	Kashmiri
10	ká	kawuru	kawuru	Sinhalese
10	ká	kāku	kəːku	Dhivehi
10	ká	kon	kɔn	Romani
11	kím	kím	kím	Sanskrit
11	kím	ka,	kɑː	Pali
11	kím	kyā	kjɑː	Hindi
11	kím	kyā	kjɑː	Urdu
11	kím	ke	keː	Nepali
11	kím	kā	kɑː	Bhojpuri
11	kím	kī	keɪī	Punjabi
11	kím	chā	chā	Sindhi
11	kím	śũ	śũ	Gujarati
11	kím	kāy	kajə	Marathi
11	kím	kidẽ,	kɪdẽ	Konkani
11	kím	ki	ki	Assamese
11	kím	ki	ki	Bengali
11	kím	kôṇô	kôṇô	Oriya
11	kím	None	None	Kashmiri
11	kím	monawā,	monawā	Sinhalese
11	kím	kon̊eccek̊	kon̊eccek̊	Dhivehi
11	kím	so	səʊ	Romani
12	kútra	kútra	kʊtɾᵊ	Sanskrit
12	kútra	kattha	katʰ:a:	Pali
12	kútra	kahā̃	kəɦɑː	Hindi
12	kútra	kahā̃	kəɦɑː	Urdu
12	kútra	kahā̃	kəɦɑː	Nepali
12	kútra	kahā̃	kəɦɑː	Bhojpuri
12	kútra	kitthe	kɪtʰːeː	Punjabi
12	kútra	kithe	kɪtʰeː	Sindhi
12	kútra	kyā̃	kyā̃	Gujarati
12	kútra	kuṭhe	kuṭhe	Marathi
12	kútra	kha͠i	kha͠aɪ	Konkani
12	kútra	köt	kot	Assamese
12	kútra	kothaẏ	kothaẏ	Bengali
12	kútra	keum̐ṭhi	keum̐ṭhi	Oriya
12	kútra	None	None	Kashmiri
12	kútra	kohē,	koʊē	Sinhalese
12	kútra	kon̊tāku	kɑn̊tiāku	Dhivehi
12	kútra	kaj	kɑːdʒ	Romani
13	kadā́	kadā́	kɐdɑː	Sanskrit
13	kadā́	karāhi,	karāhaɪ	Pali
13	kadā́	kab	kəb	Hindi
13	kadā́	kab	kab	Urdu
13	kadā́	kahile	kʌile	Nepali
13	kadā́	kab	kəb	Bhojpuri
13	kadā́	kadõ	kadõ	Punjabi
13	kadā́	kaᶑhã	kaᶑhã	Sindhi
13	kadā́	kyāre	kyāreɪ	Gujarati
13	kadā́	kevhā,	kɛvhā	Marathi
13	kadā́	kednā	kɛdnā	Konkani
13	kadā́	ketia	kɛtia	Assamese
13	kadā́	kôkhôn	kɒkʰɒn	Bengali
13	kadā́	kebe,	kɛbɛ	Oriya
13	kadā́	None	None	Kashmiri
13	kadā́	kawadā*,	kawadā	Sinhalese
13	kadā́	kon̊iraku	kon̊iraku	Dhivehi
13	kadā́	kana	ˈkɑːnə	Romani
14	kathám	kathám	kɐtʰɐm	Sanskrit
14	kathám	kathaṃ	kɐtʰaṃ	Pali
14	kathám	kaisā	kɛːsɑː	Hindi
14	kathám	kaisā	kɛːsɑː	Urdu
14	kathám	kasarī,	kʌsʌɾi	Nepali
14	kathám	kaise	kɛːsɛ	Bhojpuri
14	kathám	kivẽ*	kivẽ	Punjabi
14	kathám	kiã	kiã	Sindhi
14	kathám	kevī	kevī	Gujarati
14	kathám	kase	kase	Marathi
14	kathám	kaśe	kɑśi	Konkani
14	kathám	kene	kɛnɛ	Assamese
14	kathám	kemôn	kɛmôɛn	Bengali
14	kathám	kemiti,	kemiti	Oriya
14	kathám	None	None	Kashmiri
14	kathám	kohoma	kohoma	Sinhalese
14	kathám	dekkun̊	dekkun̊	Dhivehi
14	kathám	sar	saɾ	Romani
15	ná	ná	na	Sanskrit
15	ná	na	nɑː	Pali
15	ná	nahī̃	nəɦĩː	Hindi
15	ná	nahī̃,	nəiː	Urdu
15	ná	hoina,	ɦoinʌ	Nepali
15	ná	nā	nɑː	Bhojpuri
15	ná	nahī̃,	nəiː	Punjabi
15	ná	na	nɑː	Sindhi
15	ná	na,	nə	Gujarati
15	ná	nāhī	naɦi	Marathi
15	ná	nū	nu:	Konkani
15	ná	nai	naɪ	Assamese
15	ná	na	na:	Bengali
15	ná	nuhem̐,	nuhem̐	Oriya
15	ná	None	None	Kashmiri
15	ná	næhæ,	næhæ	Sinhalese
15	ná	nūn	nu:n	Dhivehi
15	ná	na	nɑː	Romani
16	sárva	sárva	sɐɾʋɐ	Sanskrit
16	sárva	sabba	ˈsabba	Pali
16	sárva	sab,	səb	Hindi
16	sárva	sab,	sabb	Urdu
16	sárva	sabai,	sʌbʌi	Nepali
16	sárva	kul,	kʊl	Bhojpuri
16	sárva	sārā,	sɑːɾɑː	Punjabi
16	sárva	sabhu	sabhu	Sindhi
16	sárva	badhũ,	bədhũ	Gujarati
16	sárva	sagḷe,	səɡɭe	Marathi
16	sárva	sagḷe	səɡɭe	Konkani
16	sárva	atai,	ataɪ	Assamese
16	sárva	śôb	ʃɔb	Bengali
16	sárva	sôbu	ɛsôbu	Oriya
16	sárva	prth	prth	Kashmiri
16	sárva	hæma,	hæma	Sinhalese
16	sárva	hurihā	hurihā	Dhivehi
16	sárva	sa	sa	Romani
17	bahú	bahú	bɐɦú	Sanskrit
17	bahú	bahu	bau	Pali
17	bahú	bahut	bəɦʊt	Hindi
17	bahú	bahut	bəɦoːt	Urdu
17	bahú	dherai,	dʱeɾʌi	Nepali
17	bahú	ज़āde,	ज़āde	Bhojpuri
17	bahú	bahut	boːɦtᵊ	Punjabi
17	bahú	ghaṇā	ghaṇā	Sindhi
17	bahú	bahu,	ˈbəɦu	Gujarati
17	bahú	puṣkaḷ,	puṣkɑḷ	Marathi
17	bahú	khūb	kʰuːb	Konkani
17	bahú	bohut	bɔɦut	Assamese
17	bahú	ônek	ɔnek	Bengali
17	bahú	ônekô,	ɔnekɔ	Oriya
17	bahú	None	None	Kashmiri
17	bahú	goḍak,	goʊḍak	Sinhalese
17	bahú	baivaru	baivaru	Dhivehi
17	bahú	but	bʌt	Romani
18	kiñcid	kiñcid	kiñsɪd	Sanskrit
18	kiñcid	eke*,	iːk	Pali
18	kiñcid	kuch	kʊtʃʰ	Hindi
18	kiñcid	kuch	kʊtʃʰ	Urdu
18	kiñcid	kehī,	kei	Nepali
18	kiñcid	thoṛī,	thoṛī	Bhojpuri
18	kiñcid	kujjha	kujjha	Punjabi
18	kiñcid	kujhi	kujhi	Sindhi
18	kiñcid	amuk,	amuk	Gujarati
18	kiñcid	kāhī	keɪāeɪʧī	Marathi
18	kiñcid	thoḍe	tʰoɖe	Konkani
18	kiñcid	olop	ɔlɔp	Assamese
18	kiñcid	kichu	kisu	Bengali
18	kiñcid	kichi	kichi	Oriya
18	kiñcid	None	None	Kashmiri
18	kiñcid	ætæm	ætæm	Sinhalese
18	kiñcid	baek̊	baɛk	Dhivehi
18	kiñcid	unyi	unyi	Romani
19	álpa	álpa	əlp	Sanskrit
19	álpa	appa	appa	Pali
19	álpa	thoṛā	tʰoːɽɑː	Hindi
19	álpa	thoṛā	tʰoːɽɑː	Urdu
19	álpa	thorai,	tʰoːɽɑ:i	Nepali
19	álpa	kam,	kəm	Bhojpuri
19	álpa	thoṛe,	tʰoːɽe	Punjabi
19	álpa	thorā	tʰoːɽa:	Sindhi
19	álpa	thoḍũ	tʰoɖu:	Gujarati
19	álpa	thoḍe,	tʰoɖe	Marathi
19	álpa	mācce	mācce	Konkani
19	álpa	olop	ɔlɔp	Assamese
19	álpa	kôm	kɔm	Bengali
19	álpa	ôḷpô	ôḷpô	Oriya
19	álpa	None	None	Kashmiri
19	álpa	ṭikak	ṭikak	Sinhalese
19	álpa	madun̊	madun̊	Dhivehi
19	álpa	cerra	ˈsɛrə	Romani
20	anyá	anyá	ənjə	Sanskrit
20	anyá	añña,	əñña:	Pali
20	anyá	dūsrā	duːsɾɑː	Hindi
20	anyá	dūsrā	duːsɾɑː	Urdu
20	anyá	arko,	ʌrko	Nepali
20	anyá	dusar,	dusar	Bhojpuri
20	anyá	dūjā,	duːdʒɑː	Punjabi
20	anyá	biyo	biyo	Sindhi
20	anyá	bījũ,	biīʤeɪũ	Gujarati
20	anyá	itar,	ɪtəɾ	Marathi
20	anyá	dusre	None	Konkani
20	anyá	an	an	Assamese
20	anyá	ônjô	ɔɪnnɔ	Bengali
20	anyá	ônyô,	ɔɪnyɔ	Oriya
20	anyá	None	None	Kashmiri
20	anyá	ætæm	ætæm	Sinhalese
20	anyá	anet̊	anet̊	Dhivehi
20	anyá	aver	əˈvɜː	Romani
21	éka	éka	eːk	Sanskrit
21	éka	eka	ˈekɑ	Pali
21	éka	ek	eːk	Hindi
21	éka	ek	jak	Urdu
21	éka	ek	eːk	Nepali
21	éka	ek	eːk	Bhojpuri
21	éka	ikka	ɪkːə	Punjabi
21	éka	hiku	hiku	Sindhi
21	éka	eka	ekə	Gujarati
21	éka	ek	eːk	Marathi
21	éka	ek	eːk	Konkani
21	éka	ek	ɛk	Assamese
21	éka	ek	ɛk	Bengali
21	éka	ekô	ekɔ	Oriya
21	éka	akh	akʰ	Kashmiri
21	éka	eka	ekə	Sinhalese
21	éka	ekek̊	ekeʔ	Dhivehi
21	éka	jekh	jekh	Romani
22	dví	dví	dví	Sanskrit
22	dví	dve	dʋêː	Pali
22	dví	do	doː	Hindi
22	dví	do	du	Urdu
22	dví	duī	dui	Nepali
22	dví	du	du	Bhojpuri
22	dví	do	doː	Punjabi
22	dví	ɓa	ɓa	Sindhi
22	dví	be	be	Gujarati
22	dví	don	don	Marathi
22	dví	don	don	Konkani
22	dví	dui	dui	Assamese
22	dví	dui	dui	Bengali
22	dví	dui	dui	Oriya
22	dví	zụ	zɨ	Kashmiri
22	dví	deka	deka	Sinhalese
22	dví	dēṣ̊	diēṣ̊	Dhivehi
22	dví	duj	duj	Romani
23	trí	trí	tɾí	Sanskrit
23	trí	tayo	ˈtáːjo	Pali
23	trí	tīn	tiːn	Hindi
23	trí	tīn	tiːn	Urdu
23	trí	tīn	tiːn	Nepali
23	trí	tīn	tiːn	Bhojpuri
23	trí	tinn	tɪnːə	Punjabi
23	trí	te	ʈi	Sindhi
23	trí	traṇ	tɾɔɳ	Gujarati
23	trí	tīn	tiːn	Marathi
23	trí	tīn	tiːn	Konkani
23	trí	tini	tini	Assamese
23	trí	tin	tɪn	Bengali
23	trí	tini	tini	Oriya
23	trí	tre	tre	Kashmiri
23	trí	tuna	tuna:	Sinhalese
23	trí	tinek̊	tineʔ	Dhivehi
23	trí	trin	trin	Romani
24	cátur	cátur	tɕɐtuɾ	Sanskrit
24	cátur	catur	tʃatur	Pali
24	cátur	cār	tʃɑːɾ	Hindi
24	cátur	cār	tʃɑːɾ	Urdu
24	cátur	cār	tʃɑːɾ	Nepali
24	cátur	cār	tʃɑːɾ	Bhojpuri
24	cátur	cār	tʃaːɾə	Punjabi
24	cátur	cār	tʃɑːɾ	Sindhi
24	cátur	cār	tʃəɾ	Gujarati
24	cátur	cār	tʃɑːɾ	Marathi
24	cátur	cār	tʃɑːɾ	Konkani
24	cátur	sari	saɹi	Assamese
24	cátur	car	ʈʃar	Bengali
24	cátur	cari	tʃaɾi	Oriya
24	cátur	ċōr	tsoːr	Kashmiri
24	cátur	hatara	hətəɾa:	Sinhalese
24	cátur	hatarek̊	hətəɾeʔ	Dhivehi
24	cátur	śtar	śtar	Romani
25	páñcan	páñcan	pɐɲtɕɐn	Sanskrit
25	páñcan	pañca	pɐɲtɕa:	Pali
25	páñcan	pā̃c	pɑːtʃ	Hindi
25	páñcan	pānc	pɑːnʃ	Urdu
25	páñcan	pā̃c	pɑːtʃ	Nepali
25	páñcan	pā̃c	pɑːtʃ	Bhojpuri
25	páñcan	pañj	pəndʒə	Punjabi
25	páñcan	panja	pandʒ	Sindhi
25	páñcan	pā̃c	pɑːtʃ	Gujarati
25	páñcan	pāċ	pɑːts	Marathi
25	páñcan	pāc	pɑːts	Konkani
25	páñcan	pãs	pãs	Assamese
25	páñcan	pãcô	pãs	Bengali
25	páñcan	pañcô	paɲtʃɔ	Oriya
25	páñcan	pānċh	pãːtsʰ	Kashmiri
25	páñcan	paha	paha	Sinhalese
25	páñcan	fahek̊	fəheʔ	Dhivehi
25	páñcan	panʒ	panʒ	Romani
26	mahát	mahát	mɐɦɐt	Sanskrit
26	mahát	mahant	None	Pali
26	mahát	baṛā	bəɽɑː	Hindi
26	mahát	baṛā	bəɽɑː	Urdu
26	mahát	ṭhūlo	ʈʰulo	Nepali
26	mahát	baṛ	bəɽ	Bhojpuri
26	mahát	vaḍḍā	vaᶑᶑa:	Punjabi
26	mahát	vaᶑo	vaᶑo	Sindhi
26	mahát	moṭũ	moʈũ	Gujarati
26	mahát	moṭhe	moʈʰe	Marathi
26	mahát	vhoḍ	vhoᶑ	Konkani
26	mahát	daṅor	daŋɔɹ	Assamese
26	mahát	bôṛ	ˈbɔɽo	Bengali
26	mahát	bôṛô	bɔɽɔ	Oriya
26	mahát	boḍ,	boᶑ	Kashmiri
26	mahát	loku	loku	Sinhalese
26	mahát	boḍu,	boᶑu	Dhivehi
26	mahát	baro	ˈbaːrəʊ	Romani
27	dīrghá	dīrghá	diːɾɡʱ	Sanskrit
27	dīrghá	dīgha	di:ɡʱa:	Pali
27	dīrghá	lambā	ləmbɑː	Hindi
27	dīrghá	lambā	ləmbɑː	Urdu
27	dīrghá	lāmo	lämo	Nepali
27	dīrghá	lām	läm	Bhojpuri
27	dīrghá	lammā	ləmbɑː	Punjabi
27	dīrghá	ḍigho	ᶑi:ɡʱo	Sindhi
27	dīrghá	lā̃bu	lā̃bu	Gujarati
27	dīrghá	lāmba	ləmbɑː	Marathi
27	dīrghá	lāmba,	ləmbɑː	Konkani
27	dīrghá	dighol	dighol	Assamese
27	dīrghá	lômba	ɛlômba	Bengali
27	dīrghá	lômba,	ɛlômba	Oriya
27	dīrghá	zīṭh	ziīṭeɪʧ	Kashmiri
27	dīrghá	diga	diga	Sinhalese
27	dīrghá	digu	diɡu	Dhivehi
27	dīrghá	lùngo	lùngo	Romani
28	urú	urú	ʊɾuː	Sanskrit
28	urú	uru	uɾu	Pali
28	urú	cauṛā	ˈtʃɔːɽaː	Hindi
28	urú	cauṛā	tʃɔːɽɑː	Urdu
28	urú	cauḍā,	tʃɔːɖɑː	Nepali
28	urú	cauṛā	ˈtʃɔːɽaː	Bhojpuri
28	urú	cauṛā	tʃɔːɽɑː	Punjabi
28	urú	kuśādo,	kuśādo	Sindhi
28	urú	pahoḷũ	pahoḷũ	Gujarati
28	urú	runda	runda	Marathi
28	urú	rūnda	rūnda	Konkani
28	urú	bohol	bɔɦɔl	Assamese
28	urú	côoṛa	ˈtʃɔoɽa	Bengali
28	urú	côuḍa,	tʃɔuɖa	Oriya
28	urú	khol	khol	Kashmiri
28	urú	puḷul	puḷʌl	Sinhalese
28	urú	fuḷā	fuḷā	Dhivehi
28	urú	buxlo	buxlo	Romani
29	ghaná	ghaná	ɡʱən	Sanskrit
29	ghaná	bahala,	baˈhalaʔ	Pali
29	ghaná	gāṛhā	ɡɑːɽʱɑː	Hindi
29	ghaná	gāṛhā	ɡɑːɽʱɑː	Urdu
29	ghaná	moṭo,	moʈo	Nepali
29	ghaná	gāṛhā	ɡɑːɽʱɑː	Bhojpuri
29	ghaná	moṭā	moːʈːaː	Punjabi
29	ghaná	thulho	thulho	Sindhi
29	ghaná	jāḍũ,	ja:ɖũ	Gujarati
29	ghaná	j̈āḍ	j̈a:ɖ	Marathi
29	ghaná	dāṭ	daʈ	Konkani
29	ghaná	dath,	datʰ	Assamese
29	ghaná	moṭa	ˈmoʈa	Bengali
29	ghaná	moṭa	moʈa	Oriya
29	ghaná	moṭ	moʈ	Kashmiri
29	ghaná	gana	gana	Sinhalese
29	ghaná	bō,	bō	Dhivehi
29	ghaná	thulo	thulo	Romani
30	gurú	gurú	ɡʊɾuː	Sanskrit
30	gurú	garu	ɡàːrúː	Pali
30	gurú	bhārī	bʱɑːɾiː	Hindi
30	gurú	bhārī	bʱɑːɾiː	Urdu
30	gurú	gahruṇgo,	ɡʌɾuŋɡo	Nepali
30	gurú	bhārī	bʱɑːɾiː	Bhojpuri
30	gurú	bhārī	bʱɑːɾiː	Punjabi
30	gurú	ɠaro	ɠaro	Sindhi
30	gurú	bhāre	bʱɑːɾeː	Gujarati
30	gurú	j̈aḍ	dzəɖ	Marathi
30	gurú	jaḍ	dzəɖ	Konkani
30	gurú	bhari	bʱaɹi	Assamese
30	gurú	bhari	bʱɑːɾiː	Bengali
30	gurú	bhari	bʱaɾi	Oriya
30	gurú	gob	gob	Kashmiri
30	gurú	bara	ˈbɑrə	Sinhalese
30	gurú	baru	baru	Dhivehi
30	gurú	pharo	ˈfɑroʊ	Romani
31	álpa	álpa	əlp	Sanskrit
31	álpa	khudda,	None	Pali
31	álpa	choṭā	tʃʰoːʈɑː	Hindi
31	álpa	choṭā	tʃʰoːʈɑː	Urdu
31	álpa	sāno	säno	Nepali
31	álpa	choṭ,	tʃʰoːʈ	Bhojpuri
31	álpa	choṭā	tʃʰoːʈɑː	Punjabi
31	álpa	naṇḍho	nɑṇḍhoʊ	Sindhi
31	álpa	nānũ	ɛnāɛnũ	Gujarati
31	álpa	lahān,	ləɦan	Marathi
31	álpa	dhākle,	dhākle	Konkani
31	álpa	xoru	xɔɹu	Assamese
31	álpa	choṭ	tʃʰoːʈ	Bengali
31	álpa	choṭô	tʃʰoʈɔ	Oriya
31	álpa	lọkuṭ	ɛlọkuṭ	Kashmiri
31	álpa	puṁci,	puṁci	Sinhalese
31	álpa	kuda	kuda	Dhivehi
31	álpa	tikno	tikno	Romani
32	hrasvá	hrasvá	ɦɾəsʋᵊ	Sanskrit
32	hrasvá	hrasvá	ɦɾəsʋᵊ	Pali
32	hrasvá	choṭā	tʃʰoːʈɑː	Hindi
32	hrasvá	choṭā	tʃʰoːʈɑː	Urdu
32	hrasvá	choṭo,	tsʰoʈo	Nepali
32	hrasvá	choṭhan	tʃʰoːʈʰn	Bhojpuri
32	hrasvá	choṭā	tʃʰoːʈɑː	Punjabi
32	hrasvá	naṇḍho	nɑṇḍhoʊ	Sindhi
32	hrasvá	ṭū̃kũ	ṭū̃keɪũ	Gujarati
32	hrasvá	buṭke	buṭke	Marathi
32	hrasvá	giḍḍo	giḍḍo	Konkani
32	hrasvá	suti,	suti	Assamese
32	hrasvá	bẽṭe	bẽṭi	Bengali
32	hrasvá	choṭô,	tʃʰoʈɔ	Oriya
32	hrasvá	ċoṭ,	ċoʊṭ	Kashmiri
32	hrasvá	keṭi	keṭaɪ	Sinhalese
32	hrasvá	kuru	kuɾu	Dhivehi
32	hrasvá	skurto	skurto	Romani
33	aṃhú	aṃhú	ɐɦu	Sanskrit
33	aṃhú	None	None	Pali
33	aṃhú	taṅg	təŋɡ	Hindi
33	aṃhú	tang	təŋɡ	Urdu
33	aṃhú	sā̃ghuro	sā̃ghuro	Nepali
33	aṃhú	pātar	pa:tɑr	Bhojpuri
33	aṃhú	bhīṛā,	bhi:ṛa:	Punjabi
33	aṃhú	tang	təŋɡ	Sindhi
33	aṃhú	sā̃kḍũ	sā̃kḍũ	Gujarati
33	aṃhú	nirunda,	nirunda	Marathi
33	aṃhú	yeḍo	jiḍoʊ	Konkani
33	aṃhú	thek	tʰɛk	Assamese
33	aṃhú	cipa	cipa	Bengali
33	aṃhú	ôṇôosaria	ôṇôosaria	Oriya
33	aṃhú	None	None	Kashmiri
33	aṃhú	paṭuyi	pɑṭuyi	Sinhalese
33	aṃhú	hani	ˈhæni	Dhivehi
33	aṃhú	tang	tæŋ	Romani
34	tanú	tanú	tɐnú	Sanskrit
34	tanú	None	None	Pali
